dataset,Random,Stratified,k-Center,Prototype (NE),Per-Class k-Center
credit-g,0.341 ± 0.0068,0.341 ± 0.0068,0.341 ± 0.0068,0.341 ± 0.0068,0.341 ± 0.0068
phoneme,0.1503 ± 0.0026,0.1503 ± 0.0026,0.1503 ± 0.0026,0.1503 ± 0.0026,0.1503 ± 0.0026
pendigits,0.0077 ± 0.0006,0.0077 ± 0.0006,0.0077 ± 0.0006,0.0077 ± 0.0006,0.0077 ± 0.0006
mozilla4,0.0831 ± 0.0014,0.0822 ± 0.0024,0.0842 ± 0.0029,0.0833 ± 0.0021,0.0828 ± 0.0021
nomao,0.0583 ± 0.0023,0.0569 ± 0.0033,0.055 ± 0.0029,0.0596 ± 0.0011,0.0559 ± 0.0035
bank-marketing,0.1262 ± 0.0018,0.126 ± 0.0008,0.125 ± 0.0013,0.1323 ± 0.0013,0.1533 ± 0.0045
adult,0.1927 ± 0.0011,0.1921 ± 0.0009,0.1921 ± 0.0009,0.197 ± 0.0019,0.2011 ± 0.0016
volkert,0.502 ± 0.0048,0.5051 ± 0.004,0.5558 ± 0.0023,0.5425 ± 0.0107,0.5661 ± 0.0089
connect-4,0.3064 ± 0.008,0.3099 ± 0.0096,0.3074 ± 0.0105,0.3808 ± 0.0108,0.3395 ± 0.0095
jannis,0.4057 ± 0.0043,0.4052 ± 0.0013,0.4047 ± 0.0032,0.424 ± 0.0051,0.4197 ± 0.0023
numerai28.6,0.4999 ± 0.0003,0.5002 ± 0.0004,0.5 ± 0.0004,0.5008 ± 0.0009,0.5 ± 0.0002
higgs,0.3757 ± 0.0022,0.3771 ± 0.001,0.3948 ± 0.0071,0.3994 ± 0.0025,0.4155 ± 0.0049
MiniBooNE,0.096 ± 0.0032,0.097 ± 0.0019,0.1053 ± 0.0022,0.1298 ± 0.0045,0.1996 ± 0.0139
covertype,0.2259 ± 0.005,0.2362 ± 0.0327,0.2506 ± 0.003,0.4704 ± 0.0141,0.2961 ± 0.0034
