dataset,random,stratified,coreset,prototype,stratified_coreset
credit-g,-0.013020420819520956,-0.013020420819520956,-0.013020420819520956,-0.013020420819520956,-0.013020420819520956
phoneme,0.02639081725414765,0.02639081725414765,0.02639081725414765,0.02639081725414765,0.02639081725414765
pendigits,0.0010237368048186246,0.0010237368048186246,0.0010237368048186246,0.0010237368048186246,0.0010237368048186246
mozilla4,0.01022127702539855,0.008318087719344926,0.0055871989306010925,0.007130853259015134,0.0023774658753657864
nomao,0.00497804490675623,0.004405123517663071,0.001678198545708551,-0.0047690114023964435,-0.004122025604243185
bank-marketing,0.016030651747185105,0.015470825948902936,0.005534284863998756,0.0035885035543463794,0.0491709628655401
adult,0.008162572119628678,0.008344175710271991,0.008406404280372086,-0.02001592854611985,-0.02747982617763941
volkert,-0.017928876033797857,-0.011658257901668547,0.011339960811659692,-0.0948697992220521,-0.039953907389938835
connect-4,0.0051180817946791714,0.00470097079798579,0.0001282033026218523,-0.030372654648125164,0.0067978514187038
jannis,0.00014118744656442484,-0.004053197009861482,0.001895897245407107,-0.047910222425311795,-0.05518508929684759
numerai28.6,0.014519077748060223,0.013708527630567551,0.003394684457778935,0.01639849056452513,0.00591787812709807
higgs,0.017594613143801674,0.018339730538427825,0.005065504398942007,-0.015554914674162878,0.02549267034679651
MiniBooNE,0.002350198635458955,0.00533950812220574,0.0027487576156854723,-0.01974908427894115,0.04981878748983145
covertype,-0.013443634601682422,0.009718650040030481,0.025063569037616258,-0.11511553151607512,-0.039856118994951235
