dataset,strategy,0.1,0.25,0.5,1.0
MiniBooNE,coreset,0.03753803844847717,0.017061141206696627,0.01854427648028359,0.017061950927088038
MiniBooNE,prototype,0.09586067034723236,0.0434078607024625,0.03729531650077551,0.03376811502641067
MiniBooNE,random,0.010498360745352698,0.008943757560313681,0.007598968084366064,0.01052001998084597
MiniBooNE,stratified,0.008935844728723172,0.00885149765256793,0.01095785908849211,0.012816220335452813
MiniBooNE,stratified_coreset,0.19009142795111983,0.15647886011423542,0.1316980155258905,0.10160555573073217
adult,coreset,0.025177314419427877,0.016130543177449184,0.01402780089538046,0.014103981575842162
adult,prototype,0.2147952365904531,0.14554492531677773,0.08730493478243623,0.021285408101453483
adult,random,0.021029501701320483,0.014550307778330216,0.016001527803795663,0.013912248950240352
adult,stratified,0.016627247710934864,0.017491375570336018,0.018863163140674575,0.01299326274547242
adult,stratified_coreset,0.07030726573222648,0.06264873105732878,0.04425739865623851,0.030022033722189378
bank-marketing,coreset,0.02122258382675242,0.01398366799601346,0.0073419771148760075,0.007611610055124065
bank-marketing,prototype,0.13730522644557047,0.08131416273626405,0.0517268922629172,0.018535966909540267
bank-marketing,random,0.016853933600661675,0.0166085383613402,0.019719318697721516,0.016514175044098522
bank-marketing,stratified,0.019100945373578135,0.016098953149156107,0.01442371227914027,0.01671572737258789
bank-marketing,stratified_coreset,0.04512607012715232,0.056991734227323565,0.060382027682151763,0.0540071381625712
connect-4,coreset,0.032112430643290286,0.030004301267117253,0.01559446168988943,0.01377239350974559
connect-4,prototype,0.04664475415050984,0.057027853076905013,0.031916612761467685,0.030451760889589775
connect-4,random,0.042996757261455056,0.02639402267336846,0.016443142858147613,0.014472198437154278
connect-4,stratified,0.021584139553457494,0.024040109914541245,0.01718027884438634,0.0161426910109818
connect-4,stratified_coreset,0.05095173620209098,0.020324688464403134,0.017313117697834973,0.01692373343035579
covertype,coreset,0.057724784491211184,0.07844038363993168,0.06312074043229221,0.027038552828133115
covertype,prototype,0.11581280437484384,0.07787975096106531,0.09717282902821898,0.11759720788002014
covertype,random,0.022073196345567713,0.025291568620502945,0.018695209971070305,0.017693189283460375
covertype,stratified,0.01696334567740558,0.019595826113224028,0.009166295415163053,0.017112878578901303
covertype,stratified_coreset,0.05077111995145679,0.019213656624406564,0.013900927150249476,0.041803514465689647
higgs,coreset,0.05220436291601509,0.06624009676128625,0.04723015372809023,0.027577154176123445
higgs,prototype,0.042421546063944694,0.03957128564026208,0.024897576925344764,0.025153238624334343
higgs,random,0.037319852172024555,0.026288099646940833,0.02498347700200975,0.02051696027498693
higgs,stratified,0.03389752822201699,0.02715704128183425,0.020940914203226565,0.02165666997032241
higgs,stratified_coreset,0.16284548926735298,0.1504028555627912,0.10921086999960243,0.08308026574365796
jannis,coreset,0.032169855049252516,0.020598413330316548,0.013558549659699205,0.011253198790550237
jannis,prototype,0.09892349981740117,0.07995306856185198,0.05000267172679304,0.04803236485347151
jannis,random,0.027905650003999485,0.019594833102822302,0.012585271929204465,0.009641415952891117
jannis,stratified,0.01640940870121122,0.013124444409459826,0.014331789831817137,0.01081415021717549
jannis,stratified_coreset,0.09383060934767126,0.07054180114641785,0.06073733025416731,0.05524354889765382
mozilla4,coreset,0.015535511424488726,0.01063352088241566,0.010341972733834972,0.008986966219259224
mozilla4,prototype,0.19335436268120165,0.11081646369909248,0.010599964907988223,0.010299096823539935
mozilla4,random,0.016094442337098107,0.011564953556278797,0.013180355099650482,0.014127408714171385
mozilla4,stratified,0.013450376615741872,0.01551075288473665,0.014769196321822229,0.013874755144827219
mozilla4,stratified_coreset,0.11758580361774235,0.08079244256443704,0.04364529720380353,0.008701271386244845
nomao,coreset,0.020631372909028237,0.008892552370342524,0.008661883065822072,0.0076198856883106635
nomao,prototype,0.10182155335591433,0.06368237417139923,0.02724955243030263,0.010452894712716545
nomao,random,0.011299591457443435,0.010437418957887093,0.008021431773480532,0.008619712561810208
nomao,stratified,0.012945925108977645,0.010342687594839594,0.010064465545231887,0.007862041897565938
nomao,stratified_coreset,0.06009026961737531,0.036494780446694706,0.018073863942453354,0.007803661593388831
numerai28.6,coreset,0.027375632674992066,0.015979723763465885,0.014513172160834073,0.010142133745551124
numerai28.6,prototype,0.00958229628950357,0.018159233241528305,0.009501199646294109,0.017288212625682357
numerai28.6,random,0.01584005362838505,0.009065367945283665,0.011149581390619284,0.015010796910524371
numerai28.6,stratified,0.007689594375342135,0.00896019867882132,0.006879555655270827,0.01444670873731373
numerai28.6,stratified_coreset,0.0019160498723388016,0.003967115741968165,0.005959935756027718,0.0067549723118543875
volkert,coreset,0.04662288507670165,0.045100246246159076,0.02644665465801954,0.02284634054936469
volkert,prototype,0.06455375194624066,0.05626197079606354,0.05608190655186772,0.09491820538640022
volkert,random,0.03498886130787431,0.013402355543151499,0.012645595776289691,0.02068879460431635
volkert,stratified,0.027764379438385372,0.018199246757477527,0.01150628582462668,0.015376092574000359
volkert,stratified_coreset,0.058591551810130475,0.03316836987435817,0.03408254265487194,0.04043971720039845
