dataset,Random,Stratified,k-Center,Prototype (NE),Per-Class k-Center
credit-g,0.0548 ± 0.0302,0.0548 ± 0.0302,0.0548 ± 0.0302,0.0548 ± 0.0302,0.0548 ± 0.0302
phoneme,0.0307 ± 0.0038,0.0307 ± 0.0038,0.0307 ± 0.0038,0.0307 ± 0.0038,0.0307 ± 0.0038
pendigits,0.0025 ± 0.0006,0.0025 ± 0.0006,0.0025 ± 0.0006,0.0025 ± 0.0006,0.0025 ± 0.0006
mozilla4,0.0141 ± 0.0045,0.0139 ± 0.0048,0.009 ± 0.0022,0.0103 ± 0.0055,0.0087 ± 0.002
nomao,0.0086 ± 0.0017,0.0079 ± 0.0019,0.0076 ± 0.0014,0.0105 ± 0.0029,0.0078 ± 0.0014
bank-marketing,0.0165 ± 0.0043,0.0167 ± 0.0014,0.0076 ± 0.0015,0.0185 ± 0.0035,0.054 ± 0.0034
adult,0.0139 ± 0.0023,0.013 ± 0.0033,0.0141 ± 0.0055,0.0213 ± 0.007,0.03 ± 0.0022
volkert,0.0207 ± 0.007,0.0154 ± 0.0041,0.0228 ± 0.0049,0.0949 ± 0.0197,0.0404 ± 0.0077
connect-4,0.0145 ± 0.002,0.0161 ± 0.0028,0.0138 ± 0.0016,0.0305 ± 0.014,0.0169 ± 0.0049
jannis,0.0096 ± 0.0047,0.0108 ± 0.0026,0.0113 ± 0.0022,0.048 ± 0.006,0.0552 ± 0.006
numerai28.6,0.015 ± 0.0025,0.0144 ± 0.0062,0.0101 ± 0.0093,0.0173 ± 0.0036,0.0068 ± 0.0037
higgs,0.0205 ± 0.0093,0.0217 ± 0.0032,0.0276 ± 0.013,0.0252 ± 0.0052,0.0831 ± 0.0071
MiniBooNE,0.0105 ± 0.0084,0.0128 ± 0.0081,0.0171 ± 0.0049,0.0338 ± 0.0072,0.1016 ± 0.0103
covertype,0.0177 ± 0.0135,0.0171 ± 0.0155,0.027 ± 0.0069,0.1176 ± 0.0229,0.0418 ± 0.0126
