dataset,strategy,seed,brier,ece,n_classes
credit-g,random,1,0.3455563,0.03177010819315909,2
credit-g,stratified,1,0.3455563,0.03177010819315909,2
credit-g,coreset,1,0.3455563,0.03177010819315909,2
credit-g,prototype,1,0.3455563,0.03177010819315909,2
credit-g,stratified_coreset,1,0.3455563,0.03177010819315909,2
credit-g,random,2,0.3326969,0.05444132089614869,2
credit-g,stratified,2,0.3326969,0.05444132089614869,2
credit-g,coreset,2,0.3326969,0.05444132089614869,2
credit-g,prototype,2,0.3326969,0.05444132089614869,2
credit-g,stratified_coreset,2,0.3326969,0.05444132089614869,2
credit-g,random,3,0.34745085,0.09764599978923798,2
credit-g,stratified,3,0.34745085,0.09764599978923798,2
credit-g,coreset,3,0.34745085,0.09764599978923798,2
credit-g,prototype,3,0.34745085,0.09764599978923798,2
credit-g,stratified_coreset,3,0.34745085,0.09764599978923798,2
credit-g,random,4,0.33830035,0.035499704182147984,2
credit-g,stratified,4,0.33830035,0.035499704182147984,2
credit-g,coreset,4,0.33830035,0.035499704182147984,2
credit-g,prototype,4,0.33830035,0.035499704182147984,2
credit-g,stratified_coreset,4,0.33830035,0.035499704182147984,2
pendigits,random,1,0.008145583,0.0017947892591919734,10
pendigits,stratified,1,0.008145583,0.0017947892591919734,10
pendigits,coreset,1,0.008145583,0.0017947892591919734,10
pendigits,prototype,1,0.008145583,0.0017947892591919734,10
pendigits,stratified_coreset,1,0.008145583,0.0017947892591919734,10
pendigits,random,2,0.007504335,0.002387405553152528,10
pendigits,stratified,2,0.007504335,0.002387405553152528,10
pendigits,coreset,2,0.007504335,0.002387405553152528,10
pendigits,prototype,2,0.007504335,0.002387405553152528,10
pendigits,stratified_coreset,2,0.007504335,0.002387405553152528,10
pendigits,random,3,0.008279852,0.0033307807886801205,10
pendigits,stratified,3,0.008279852,0.0033307807886801205,10
pendigits,coreset,3,0.008279852,0.0033307807886801205,10
pendigits,prototype,3,0.008279852,0.0033307807886801205,10
pendigits,stratified_coreset,3,0.008279852,0.0033307807886801205,10
pendigits,random,4,0.007045951,0.0025311206459402687,10
pendigits,stratified,4,0.007045951,0.0025311206459402687,10
pendigits,coreset,4,0.007045951,0.0025311206459402687,10
pendigits,prototype,4,0.007045951,0.0025311206459402687,10
pendigits,stratified_coreset,4,0.007045951,0.0025311206459402687,10
phoneme,random,1,0.14732046,0.027347090052721623,2
phoneme,stratified,1,0.14732046,0.027347090052721623,2
phoneme,coreset,1,0.14732046,0.027347090052721623,2
phoneme,prototype,1,0.14732046,0.027347090052721623,2
phoneme,stratified_coreset,1,0.14732046,0.027347090052721623,2
phoneme,random,2,0.15302102,0.03093291675735688,2
phoneme,stratified,2,0.15302102,0.03093291675735688,2
phoneme,coreset,2,0.15302102,0.03093291675735688,2
phoneme,prototype,2,0.15302102,0.03093291675735688,2
phoneme,stratified_coreset,2,0.15302102,0.03093291675735688,2
phoneme,random,3,0.15181644,0.028515408397975287,2
phoneme,stratified,3,0.15181644,0.028515408397975287,2
phoneme,coreset,3,0.15181644,0.028515408397975287,2
phoneme,prototype,3,0.15181644,0.028515408397975287,2
phoneme,stratified_coreset,3,0.15181644,0.028515408397975287,2
phoneme,random,4,0.14889573,0.035934096315115766,2
phoneme,stratified,4,0.14889573,0.035934096315115766,2
phoneme,coreset,4,0.14889573,0.035934096315115766,2
phoneme,prototype,4,0.14889573,0.035934096315115766,2
phoneme,stratified_coreset,4,0.14889573,0.035934096315115766,2
bank-marketing,random,1,0.12645426,0.014110798711155111,2
bank-marketing,stratified,1,0.12579338,0.015724054455219957,2
bank-marketing,coreset,1,0.12605426,0.009365513190597434,2
bank-marketing,prototype,1,0.13057935,0.016547978911798083,2
bank-marketing,stratified_coreset,1,0.15996967,0.05884021666507752,2
bank-marketing,random,2,0.1247963,0.018090932357392647,2
bank-marketing,stratified,2,0.12581953,0.018198605722806554,2
bank-marketing,coreset,2,0.12343046,0.00578618800611764,2
bank-marketing,prototype,2,0.1338007,0.01464209674674135,2
bank-marketing,stratified_coreset,2,0.15084377,0.053836456624918524,2
bank-marketing,random,3,0.12487366,0.012062485262349517,2
bank-marketing,stratified,3,0.12526824,0.017558279684851366,2
bank-marketing,coreset,3,0.12612087,0.007234078357503912,2
bank-marketing,prototype,3,0.13215956,0.021977507589519003,2
bank-marketing,stratified_coreset,3,0.1504173,0.05087535680625656,2
bank-marketing,random,4,0.12855358,0.021792483845496816,2
bank-marketing,stratified,4,0.12715785,0.01538196962747369,2
bank-marketing,coreset,4,0.124563,0.008060660666277272,2
bank-marketing,prototype,4,0.13252988,0.020976284390102636,2
bank-marketing,stratified_coreset,4,0.15193644,0.05247652255403221,2
mozilla4,random,1,0.08518808,0.017611445388302116,2
mozilla4,stratified,1,0.085306495,0.01346484103975991,2
mozilla4,coreset,1,0.084934786,0.009265173038739971,2
mozilla4,prototype,1,0.08536898,0.01644208863966276,2
mozilla4,stratified_coreset,1,0.08456077,0.007245885504155197,2
mozilla4,random,2,0.082866855,0.007803229502608647,2
mozilla4,stratified,2,0.08295844,0.00929878680937511,2
mozilla4,coreset,2,0.08793613,0.005974249874765698,2
mozilla4,prototype,2,0.08477153,0.003326139556345566,2
mozilla4,stratified_coreset,2,0.084727034,0.011603590293590677,2
mozilla4,random,3,0.081990354,0.013978811682010333,2
mozilla4,stratified,3,0.08001264,0.012150766392681507,2
mozilla4,coreset,3,0.08132179,0.009431738216257288,2
mozilla4,prototype,3,0.08189579,0.01221078008375272,2
mozilla4,stratified_coreset,3,0.08083152,0.008510190241528432,2
mozilla4,random,4,0.08233446,0.017116148283764444,2
mozilla4,stratified,4,0.08059347,0.02058462633749235,2
mozilla4,coreset,4,0.08271794,0.011276703747273943,2
mozilla4,prototype,4,0.08104065,0.009217379014398692,2
mozilla4,stratified_coreset,4,0.08119905,0.007445419505705075,2
adult,random,1,0.19427186,0.013050695461203776,2
adult,stratified,1,0.1917581,0.012275356336419838,2
adult,coreset,1,0.19328448,0.018555594017113874,2
adult,prototype,1,0.19530356,0.015774641537211156,2
adult,stratified_coreset,1,0.20070995,0.028678827701607994,2
adult,random,2,0.19227049,0.016477506274481565,2
adult,stratified,2,0.19282891,0.017121572726444195,2
adult,coreset,2,0.19229677,0.018999832416232994,2
adult,prototype,2,0.19904384,0.029500820885930732,2
