dataset,strategy,budget_fraction,seed,brier,ece
higgs,random,0.1,1,0.4143865,0.03147743624448777
higgs,stratified,0.1,1,0.40821445,0.03880632037147879
higgs,random,0.1,2,0.4066352,0.023701151812076583
higgs,stratified,0.1,2,0.3969376,0.02525283679962159
higgs,random,0.1,3,0.39979264,0.029548781774193046
higgs,stratified,0.1,3,0.4062721,0.04513708857595921
higgs,random,0.1,4,0.41932184,0.06455203885734083
higgs,stratified,0.1,4,0.40769467,0.026393867141008383
higgs,random,0.25,1,0.39317262,0.023955558964610112
higgs,stratified,0.25,1,0.3898794,0.02491745530366898
higgs,random,0.25,2,0.39140424,0.025322835437953477
higgs,stratified,0.25,2,0.38388106,0.014305681133270267
higgs,random,0.25,3,0.38830864,0.026144085425883538
higgs,stratified,0.25,3,0.39122298,0.036231943289190535
higgs,random,0.25,4,0.39187953,0.029729918759316208
higgs,stratified,0.25,4,0.39265245,0.03317308540120722
higgs,random,0.5,1,0.38253003,0.016495177599042656
higgs,stratified,0.5,1,0.3800761,0.0164529558725655
higgs,random,0.5,2,0.38253427,0.02519299132004379
higgs,stratified,0.5,2,0.3805143,0.011804628246277562
higgs,random,0.5,3,0.38279238,0.026797266782075172
higgs,stratified,0.5,3,0.38313058,0.027821890462934987
higgs,random,0.5,4,0.38156557,0.031448472306877376
higgs,stratified,0.5,4,0.38224712,0.027684182231128215
higgs,random,1.0,1,0.3738142,0.009588769934326424
higgs,stratified,1.0,1,0.37854928,0.018031911217048772
higgs,random,1.0,2,0.37387243,0.017002147109061488
higgs,stratified,1.0,2,0.37623966,0.020045528961718087
higgs,random,1.0,3,0.3777031,0.031232640493661167
higgs,stratified,1.0,3,0.3764148,0.02360300803631545
higgs,random,1.0,4,0.3775417,0.024244283562898643
higgs,stratified,1.0,4,0.37708324,0.024946231666207325
MiniBooNE,random,0.1,1,0.116492406,0.011117974622268233
MiniBooNE,stratified,0.1,1,0.11596819,0.007338159598596402
MiniBooNE,random,0.1,2,0.11239653,0.009521252705156805
MiniBooNE,stratified,0.1,2,0.11400407,0.016639539042487744
MiniBooNE,random,0.1,3,0.11524348,0.011055319063365467
MiniBooNE,stratified,0.1,3,0.111291274,0.006249711740389461
MiniBooNE,random,0.1,4,0.11233894,0.010298896590620289
