dataset,target_size,class_label,pool_frac,candidate_frac,representation_ratio,selected_frac_mean,selected_frac_std
connect-4,10000,0,0.09545748912942918,0.18705,1.9595110001938358,0.18722500000000003,0.0014184057952504332
connect-4,10000,1,0.24623924507354983,0.34935,1.4187421663660955,0.34927499999999995,0.004231060741705329
connect-4,10000,2,0.658303265797021,0.4636,0.7042346955984035,0.4635,0.0029008619408720576
connect-4,1000,0,0.09545748912942918,0.299,3.132284357433611,0.305,0.010173494974687912
connect-4,1000,1,0.24623924507354983,0.328,1.3320378719567179,0.32525,0.013754544703478932
connect-4,1000,2,0.658303265797021,0.373,0.5666081567260667,0.36975,0.005931905258852341
covertype,10000,0,0.3646056767403385,0.40975,1.1238168414251322,0.41135,0.0014585952145814833
covertype,10000,1,0.48759813170571137,0.43795,0.8981781748588069,0.434825,0.0008785641695402885
covertype,10000,2,0.06153710448808005,0.0304,0.4940108939621718,0.03135,0.0010259142264341587
covertype,10000,3,0.004728824097640106,0.00345,0.7295682666060055,0.0030999999999999995,0.00027386127875258295
covertype,10000,4,0.01633789362942628,0.05095,3.1185170595206744,0.052275,0.0011882234638316133
covertype,10000,5,0.029891848049413847,0.02325,0.7778040341154455,0.022925,0.001098578627135991
covertype,10000,6,0.03530052128938983,0.04425,1.2535225652120916,0.044175,0.0010009370609583815
covertype,1000,0,0.3646056767403385,0.419,1.149186715209592,0.4125,0.0036400549446402625
covertype,1000,1,0.48759813170571137,0.429,0.8798228953406283,0.427,0.002915475947422653
covertype,1000,2,0.06153710448808005,0.025,0.40625895885047025,0.0265,0.0036400549446402586
covertype,1000,3,0.004728824097640106,0.003,0.6344071883530483,0.0034999999999999996,0.0005
covertype,1000,4,0.01633789362942628,0.055,3.3664070318672636,0.057749999999999996,0.0034186985827943358
covertype,1000,5,0.029891848049413847,0.0165,0.5519899596948323,0.01825,0.0019202864369671521
covertype,1000,6,0.03530052128938983,0.0525,1.487230162116041,0.0545,0.0011180339887498958
