dataset,target_size,own_class,enemy_class,count,frac_of_candidates
connect-4,10000,0,1,1425,0.07125
connect-4,10000,0,2,2316,0.1158
connect-4,10000,1,0,1879,0.09395
connect-4,10000,1,2,5108,0.2554
connect-4,10000,2,0,3554,0.1777
connect-4,10000,2,1,5718,0.2859
connect-4,1000,0,1,247,0.1235
connect-4,1000,0,2,351,0.1755
connect-4,1000,1,0,263,0.1315
connect-4,1000,1,2,393,0.1965
connect-4,1000,2,0,353,0.1765
connect-4,1000,2,1,393,0.1965
covertype,10000,0,1,7238,0.3619
covertype,10000,0,2,6,0.0003
covertype,10000,0,4,133,0.00665
covertype,10000,0,5,5,0.00025
covertype,10000,0,6,813,0.04065
covertype,10000,1,0,7435,0.37175
covertype,10000,1,2,240,0.012
covertype,10000,1,4,840,0.042
covertype,10000,1,5,173,0.00865
covertype,10000,1,6,71,0.00355
covertype,10000,2,0,7,0.00035
covertype,10000,2,1,235,0.01175
covertype,10000,2,3,48,0.0024
covertype,10000,2,4,73,0.00365
covertype,10000,2,5,245,0.01225
covertype,10000,3,2,47,0.00235
covertype,10000,3,5,22,0.0011
covertype,10000,4,0,132,0.0066
covertype,10000,4,1,791,0.03955
covertype,10000,4,2,66,0.0033
covertype,10000,4,5,30,0.0015
covertype,10000,5,0,5,0.00025
covertype,10000,5,1,165,0.00825
covertype,10000,5,2,243,0.01215
covertype,10000,5,3,23,0.00115
covertype,10000,5,4,29,0.00145
covertype,10000,6,0,813,0.04065
covertype,10000,6,1,72,0.0036
covertype,1000,0,1,723,0.3615
covertype,1000,0,2,1,0.0005
covertype,1000,0,4,11,0.0055
covertype,1000,0,6,103,0.0515
covertype,1000,1,0,718,0.359
covertype,1000,1,2,24,0.012
covertype,1000,1,4,90,0.045
covertype,1000,1,5,19,0.0095
covertype,1000,1,6,7,0.0035
covertype,1000,2,0,1,0.0005
covertype,1000,2,1,24,0.012
covertype,1000,2,3,4,0.002
covertype,1000,2,4,9,0.0045
covertype,1000,2,5,12,0.006
covertype,1000,3,2,4,0.002
covertype,1000,3,5,2,0.001
covertype,1000,4,0,12,0.006
covertype,1000,4,1,90,0.045
covertype,1000,4,2,7,0.0035
covertype,1000,4,5,1,0.0005
covertype,1000,5,1,18,0.009
covertype,1000,5,2,12,0.006
covertype,1000,5,3,2,0.001
covertype,1000,5,4,1,0.0005
covertype,1000,6,0,99,0.0495
covertype,1000,6,1,6,0.003
