dataset,Random,Stratified,k-Center,Prototype (NE),Per-Class k-Center
credit-g,0.7575 ± 0.0222,0.7575 ± 0.0222,0.7575 ± 0.0222,0.7575 ± 0.0222,0.7575 ± 0.0222
phoneme,0.8938 ± 0.0063,0.8938 ± 0.0063,0.8938 ± 0.0063,0.8938 ± 0.0063,0.8938 ± 0.0063
pendigits,0.9955 ± 0.0006,0.9955 ± 0.0006,0.9955 ± 0.0006,0.9955 ± 0.0006,0.9955 ± 0.0006
mozilla4,0.9471 ± 0.0011,0.9481 ± 0.0017,0.9464 ± 0.0019,0.9481 ± 0.0012,0.9461 ± 0.0015
nomao,0.961 ± 0.0018,0.9624 ± 0.0027,0.9633 ± 0.0028,0.9609 ± 0.0007,0.9626 ± 0.0035
bank-marketing,0.9083 ± 0.0023,0.9086 ± 0.0018,0.9092 ± 0.0015,0.9014 ± 0.0021,0.8937 ± 0.0019
adult,0.8612 ± 0.0018,0.8628 ± 0.0021,0.8619 ± 0.0018,0.8614 ± 0.0012,0.8582 ± 0.0017
volkert,0.6262 ± 0.0049,0.6215 ± 0.006,0.5638 ± 0.0044,0.6093 ± 0.004,0.5668 ± 0.0096
connect-4,0.7779 ± 0.0069,0.7767 ± 0.0068,0.7783 ± 0.0086,0.723 ± 0.0107,0.7575 ± 0.0076
jannis,0.7004 ± 0.0038,0.7021 ± 0.0023,0.7012 ± 0.0015,0.6919 ± 0.007,0.69 ± 0.0038
numerai28.6,0.5086 ± 0.0036,0.5088 ± 0.0025,0.5078 ± 0.0038,0.5048 ± 0.0042,0.5032 ± 0.0071
higgs,0.7083 ± 0.0012,0.7101 ± 0.0024,0.6895 ± 0.0083,0.6835 ± 0.0049,0.6554 ± 0.0078
MiniBooNE,0.935 ± 0.0016,0.9346 ± 0.0003,0.9293 ± 0.0024,0.9105 ± 0.0051,0.8523 ± 0.0143
covertype,0.8438 ± 0.0068,0.837 ± 0.0218,0.8268 ± 0.0053,0.6613 ± 0.026,0.787 ± 0.0029
