dataset,Random,Stratified,k-Center,Prototype (NE),Per-Class k-Center
credit-g,0.6744 ± 0.0255,0.6744 ± 0.0255,0.6744 ± 0.0255,0.6744 ± 0.0255,0.6744 ± 0.0255
phoneme,0.8635 ± 0.0066,0.8635 ± 0.0066,0.8635 ± 0.0066,0.8635 ± 0.0066,0.8635 ± 0.0066
pendigits,0.9954 ± 0.0006,0.9954 ± 0.0006,0.9954 ± 0.0006,0.9954 ± 0.0006,0.9954 ± 0.0006
mozilla4,0.9273 ± 0.0017,0.9293 ± 0.0019,0.9238 ± 0.0032,0.9274 ± 0.0025,0.9269 ± 0.0029
nomao,0.9525 ± 0.0032,0.9544 ± 0.0056,0.9583 ± 0.0023,0.9533 ± 0.0014,0.9561 ± 0.0032
bank-marketing,0.7277 ± 0.011,0.7283 ± 0.0107,0.7242 ± 0.0145,0.7645 ± 0.0165,0.567 ± 0.0106
adult,0.7721 ± 0.0039,0.7799 ± 0.0097,0.7749 ± 0.0071,0.7825 ± 0.0044,0.7499 ± 0.0066
volkert,0.494 ± 0.0077,0.4847 ± 0.0115,0.4365 ± 0.0055,0.4874 ± 0.0029,0.4131 ± 0.0128
connect-4,0.53 ± 0.0084,0.5287 ± 0.0107,0.5339 ± 0.0149,0.5509 ± 0.0128,0.4994 ± 0.0141
jannis,0.5257 ± 0.0063,0.5249 ± 0.0048,0.5212 ± 0.0018,0.5318 ± 0.0034,0.5217 ± 0.0018
numerai28.6,0.507 ± 0.0037,0.5082 ± 0.0018,0.5088 ± 0.0044,0.5021 ± 0.0047,0.5005 ± 0.0045
higgs,0.7066 ± 0.0015,0.7085 ± 0.0022,0.6845 ± 0.0102,0.6856 ± 0.0039,0.6409 ± 0.0088
MiniBooNE,0.926 ± 0.0039,0.9247 ± 0.0065,0.9105 ± 0.007,0.8794 ± 0.0149,0.7544 ± 0.0253
covertype,0.686 ± 0.0129,0.682 ± 0.0366,0.7102 ± 0.0183,0.586 ± 0.0212,0.4546 ± 0.0186
