dataset,Random,Stratified,k-Center,Prototype (NE),Per-Class k-Center
credit-g,0.5148 ± 0.0085,0.5148 ± 0.0085,0.5148 ± 0.0085,0.5148 ± 0.0085,0.5148 ± 0.0085
phoneme,0.2527 ± 0.0049,0.2527 ± 0.0049,0.2527 ± 0.0049,0.2527 ± 0.0049,0.2527 ± 0.0049
pendigits,0.0232 ± 0.0027,0.0232 ± 0.0027,0.0232 ± 0.0027,0.0232 ± 0.0027,0.0232 ± 0.0027
mozilla4,0.1476 ± 0.003,0.1479 ± 0.0041,0.1481 ± 0.0045,0.1486 ± 0.0038,0.1444 ± 0.0041
nomao,0.1023 ± 0.0039,0.1003 ± 0.0066,0.0965 ± 0.0049,0.1061 ± 0.0013,0.0983 ± 0.0051
bank-marketing,0.2048 ± 0.0032,0.204 ± 0.0023,0.2022 ± 0.0022,0.2106 ± 0.0022,0.2487 ± 0.0107
adult,0.3027 ± 0.0014,0.3023 ± 0.0009,0.3006 ± 0.0021,0.3115 ± 0.0048,0.3143 ± 0.0038
volkert,1.0723 ± 0.0153,1.0761 ± 0.0091,1.2004 ± 0.0073,1.1627 ± 0.0253,1.2271 ± 0.025
connect-4,0.5429 ± 0.0133,0.5474 ± 0.0147,0.5445 ± 0.0173,0.6682 ± 0.0187,0.6007 ± 0.0153
jannis,0.722 ± 0.0081,0.7225 ± 0.0045,0.7227 ± 0.0053,0.7495 ± 0.0066,0.7496 ± 0.0046
numerai28.6,0.6931 ± 0.0004,0.6934 ± 0.0004,0.6931 ± 0.0004,0.694 ± 0.0009,0.6932 ± 0.0002
higgs,0.5535 ± 0.0035,0.5558 ± 0.0016,0.5763 ± 0.0077,0.5816 ± 0.0032,0.5987 ± 0.0054
MiniBooNE,0.1637 ± 0.005,0.1653 ± 0.0043,0.1786 ± 0.0028,0.2158 ± 0.0031,0.3068 ± 0.017
covertype,0.3909 ± 0.01,0.4081 ± 0.0561,0.4323 ± 0.0019,0.7405 ± 0.0158,0.4911 ± 0.0093
