dataset,Random,Stratified,k-Center,Prototype (NE),Per-Class k-Center
credit-g,0.6859 ± 0.028,0.6859 ± 0.028,0.6859 ± 0.028,0.6859 ± 0.028,0.6859 ± 0.028
phoneme,0.8697 ± 0.0074,0.8697 ± 0.0074,0.8697 ± 0.0074,0.8697 ± 0.0074,0.8697 ± 0.0074
pendigits,0.9955 ± 0.0006,0.9955 ± 0.0006,0.9955 ± 0.0006,0.9955 ± 0.0006,0.9955 ± 0.0006
mozilla4,0.9384 ± 0.001,0.9397 ± 0.0019,0.9372 ± 0.0024,0.9394 ± 0.0016,0.9374 ± 0.0019
nomao,0.9523 ± 0.0023,0.9539 ± 0.0036,0.9553 ± 0.0033,0.9523 ± 0.0009,0.9544 ± 0.0042
bank-marketing,0.7527 ± 0.0062,0.7534 ± 0.007,0.7517 ± 0.0104,0.7627 ± 0.0101,0.5893 ± 0.0164
adult,0.7932 ± 0.0012,0.7982 ± 0.0061,0.795 ± 0.0023,0.7983 ± 0.0018,0.7789 ± 0.0047
volkert,0.5192 ± 0.0087,0.5062 ± 0.014,0.4464 ± 0.004,0.5099 ± 0.0045,0.4338 ± 0.0123
connect-4,0.5173 ± 0.0099,0.5172 ± 0.0106,0.5185 ± 0.0114,0.5336 ± 0.0171,0.4893 ± 0.0109
jannis,0.5315 ± 0.0138,0.5285 ± 0.0111,0.5198 ± 0.0007,0.5437 ± 0.0023,0.5073 ± 0.0027
numerai28.6,0.4873 ± 0.0262,0.5053 ± 0.0015,0.4855 ± 0.0319,0.4244 ± 0.0559,0.4345 ± 0.038
higgs,0.7068 ± 0.0015,0.7087 ± 0.0023,0.6841 ± 0.0116,0.6834 ± 0.0049,0.6239 ± 0.0123
MiniBooNE,0.9205 ± 0.0016,0.9199 ± 0.0011,0.9121 ± 0.0029,0.8867 ± 0.0085,0.7864 ± 0.0254
covertype,0.723 ± 0.0058,0.7129 ± 0.0468,0.7391 ± 0.0135,0.5323 ± 0.0283,0.4811 ± 0.0288
