dataset,Random,Stratified,k-Center,Prototype (NE),Per-Class k-Center
credit-g,0.3845 ± 0.0572,0.3845 ± 0.0572,0.3845 ± 0.0572,0.3845 ± 0.0572,0.3845 ± 0.0572
phoneme,0.7402 ± 0.015,0.7402 ± 0.015,0.7402 ± 0.015,0.7402 ± 0.015,0.7402 ± 0.015
pendigits,0.9949 ± 0.0007,0.9949 ± 0.0007,0.9949 ± 0.0007,0.9949 ± 0.0007,0.9949 ± 0.0007
mozilla4,0.8796 ± 0.0027,0.8819 ± 0.0042,0.8784 ± 0.0043,0.882 ± 0.0027,0.8772 ± 0.0035
nomao,0.9046 ± 0.0047,0.9079 ± 0.0072,0.9107 ± 0.0065,0.9045 ± 0.0017,0.9089 ± 0.0083
bank-marketing,0.5124 ± 0.0105,0.5136 ± 0.012,0.5119 ± 0.0173,0.5257 ± 0.0202,0.2917 ± 0.0265
adult,0.5953 ± 0.0033,0.603 ± 0.0092,0.5985 ± 0.0024,0.6012 ± 0.0026,0.5789 ± 0.0059
volkert,0.5568 ± 0.0057,0.5514 ± 0.0067,0.4879 ± 0.0034,0.5368 ± 0.0041,0.4961 ± 0.0097
connect-4,0.51 ± 0.0172,0.5066 ± 0.0181,0.5132 ± 0.0236,0.4504 ± 0.0151,0.4548 ± 0.0222
jannis,0.5254 ± 0.0082,0.5288 ± 0.0034,0.5308 ± 0.0035,0.515 ± 0.0091,0.5149 ± 0.0025
numerai28.6,0.0155 ± 0.0083,0.0166 ± 0.004,0.0198 ± 0.0096,0.0075 ± 0.013,0.0038 ± 0.0123
higgs,0.4139 ± 0.0027,0.4177 ± 0.0046,0.3762 ± 0.015,0.3712 ± 0.007,0.3295 ± 0.0131
MiniBooNE,0.8416 ± 0.0029,0.8403 ± 0.0031,0.8246 ± 0.0054,0.775 ± 0.0153,0.6151 ± 0.0404
covertype,0.7477 ± 0.0102,0.7369 ± 0.0357,0.7198 ± 0.0081,0.4721 ± 0.0408,0.6476 ± 0.0054
