dataset,strategy,budget_fraction,seed,accuracy,log_loss,macro_f1,balanced_acc,mcc,pr_auc,macro_auc,top2_accuracy,n_classes
higgs,random,0.1,1,0.674,0.599856588200521,0.6739830992838669,0.6757992670739833,0.35134482708512693,0.7626785415207082,0.7391426966405765,,2
higgs,stratified,0.1,1,0.6848,0.593598092461195,0.6831298535066688,0.6828815592006551,0.36658645039483817,0.7673395333467469,0.7493425087939725,,2
higgs,random,0.1,2,0.6841,0.5924852783147421,0.6838609198206143,0.684767449532077,0.36893076705404826,0.7654434129767083,0.7496482691930767,,2
higgs,stratified,0.1,2,0.691,0.5795412850386897,0.6892800532354775,0.6889986132226865,0.37897158759703103,0.7819143273778864,0.7617509873504527,,2
higgs,random,0.1,3,0.689,0.5836401702163924,0.6868739492657667,0.6865329459538898,0.3746300882970406,0.7745496503009572,0.7586410320743822,,2
higgs,stratified,0.1,3,0.6815,0.5911109088420596,0.679918126574161,0.6797027185426365,0.36007143117930396,0.7735305266852948,0.7527668526993359,,2
higgs,random,0.1,4,0.6753,0.6098599404435021,0.675299840896922,0.6775568977603683,0.3551426790593154,0.7679747116028041,0.7424241931721884,,2
higgs,stratified,0.1,4,0.681,0.5940141405583401,0.6792339777572998,0.6789772649746346,0.35886399632406013,0.7686857535638566,0.7476539842117033,,2
higgs,random,0.25,1,0.692,0.5743515726916772,0.6915685784648135,0.6921252430552378,0.38368079712461767,0.7868147689626971,0.7653409732097868,,2
higgs,stratified,0.25,1,0.6973,0.5713458073427758,0.6963306113942231,0.6963465344452593,0.3926619086144497,0.7902426675533951,0.7705247938414823,,2
higgs,random,0.25,2,0.6937,0.572253354253653,0.6924988235294118,0.6923903905755006,0.3850367904775388,0.7856397378903829,0.7681555620942826,,2
higgs,stratified,0.25,2,0.7018,0.5635629352366774,0.700772464612581,0.7007407917520861,0.4015476911669535,0.7947913827487687,0.7765017494840318,,2
higgs,random,0.25,3,0.6961,0.5694299836452632,0.695703437677015,0.6963133057262072,0.3920278851027282,0.7926624571942615,0.7723063829158795,,2
higgs,stratified,0.25,3,0.6958,0.5733083650710076,0.6943362865150575,0.6941127859776732,0.3888740747823835,0.7904018014936631,0.7708939215683441,,2
higgs,random,0.25,4,0.6908,0.5728317045500009,0.6891159535557735,0.6888438669175354,0.37860583199875597,0.7918522152990443,0.7682677491523868,,2
higgs,stratified,0.25,4,0.6909,0.5744297398163357,0.6891467847575001,0.6888581135301726,0.37873922189444786,0.7877898659609787,0.7680378569819879,,2
higgs,random,0.5,1,0.7034,0.5618728188786498,0.7030485995908118,0.7037348277588544,0.4068298940590427,0.7961486186529584,0.7786263809382089,,2
higgs,stratified,0.5,1,0.7065,0.559190595424446,0.7051566198491879,0.7049454687825816,0.41046396121792084,0.7980616608749846,0.7815577519150259,,2
higgs,random,0.5,2,0.7014,0.5612436609843399,0.6992166012773362,0.698812964208817,0.3995430855884979,0.799413840593132,0.7794398223884835,,2
higgs,stratified,0.5,2,0.7036,0.5597123673348215,0.7020294688432,0.7017432717060988,0.4043947907543609,0.7981881432231706,0.7807814319202139,,2
higgs,random,0.5,3,0.7056,0.5629329409363314,0.7047707008988248,0.7048746370324281,0.4095663774087459,0.7998782050091934,0.7797330618209883,,2
higgs,stratified,0.5,3,0.7009,0.5619796257059175,0.699388885041214,0.6991319679379782,0.3990424437493426,0.8002399303174922,0.7787109777253609,,2
higgs,random,0.5,4,0.7061,0.5628117441987555,0.7051045479631499,0.7050836007282066,0.41021024432396996,0.8025933110112615,0.7820814654218258,,2
higgs,stratified,0.5,4,0.7037,0.5625789240840333,0.7030579370243308,0.7033414205935549,0.4062774296871667,0.7966723709883707,0.7801211114573104,,2
higgs,random,1.0,1,0.7099,0.5505822696840833,0.7087180682182284,0.7085747030564482,0.41749641398590226,0.8049173901135742,0.7881354129695703,,2
higgs,stratified,1.0,1,0.7071,0.5577743718139624,0.7056701189481609,0.7054211852507508,0.4115625022818963,0.8000618899434888,0.7839161482103606,,2
higgs,random,1.0,2,0.7077,0.5503835403248113,0.7065166015666673,0.7063789589329954,0.41308964902782097,0.8086203961292235,0.7887547393062517,,2
higgs,stratified,1.0,2,0.7127,0.5547724864596134,0.7109277297087944,0.7105460329323895,0.42249501114552673,0.8031657429155779,0.7864373371371388,,2
higgs,random,1.0,3,0.707,0.5567139669903031,0.7051972101876278,0.7048330610023098,0.4110227553757792,0.8045701402718828,0.7856778722896722,,2
higgs,stratified,1.0,3,0.711,0.5541911162151185,0.7097509538648237,0.7095692771437299,0.4196027648654718,0.8065719755045712,0.7867251789093628,,2
higgs,random,1.0,4,0.7085,0.5564576606631745,0.7068905919310811,0.7065732747031046,0.4141886341460792,0.8057584739205969,0.7859263853847573,,2
higgs,stratified,1.0,4,0.7097,0.5563941549484467,0.7085172533738424,0.7083740465404329,0.4170947671195675,0.8050139907176379,0.7863481653814215,,2
MiniBooNE,random,0.1,1,0.9215,0.19492644905414933,0.9038042997615363,0.9081609248698774,0.8078694825040839,0.9177458035131288,0.9710246728930481,,2
MiniBooNE,stratified,0.1,1,0.9224,0.19737910390434335,0.9044324429983858,0.9067213887553003,0.8089376003193195,0.91606073180909,0.9705689196925211,,2
MiniBooNE,random,0.1,2,0.9262,0.19696285844685654,0.908341886848581,0.9071887339394058,0.8167023448140617,0.9203809022110248,0.9711943914218528,,2
MiniBooNE,stratified,0.1,2,0.923,0.1945140494018263,0.9050495113773869,0.9068123412418403,0.8101421895120161,0.9284200555485389,0.9723982734087229,,2
MiniBooNE,random,0.1,3,0.9221,0.19397681489992427,0.9031753982384063,0.9017306435175745,0.8063805501025304,0.9253404815030049,0.9721279424070624,,2
MiniBooNE,stratified,0.1,3,0.9237,0.18608270884155476,0.9057811582296287,0.9069727960914605,0.8115820559606811,0.9273684113376819,0.9738365215251245,,2
MiniBooNE,random,0.1,4,0.9252,0.18889096456997148,0.9082901352897058,0.9124715079942083,0.8168171109356586,0.9273167002693361,0.9732591020354135,,2
MiniBooNE,stratified,0.1,4,0.9227,0.18635568934435887,0.9046488896424875,0.9062777724606571,0.8093347165663092,0.9284820073281893,0.9736425291845525,,2
MiniBooNE,random,0.25,1,0.9316,0.1736176272791466,0.9160662005019438,0.919962901689477,0.8323330113835768,0.9335265758095969,0.9767410069490474,,2
MiniBooNE,stratified,0.25,1,0.9307,0.17672389827345122,0.9140343468882313,0.913359582736148,0.8280749077436709,0.9372907589977704,0.9770336302268204,,2
MiniBooNE,random,0.25,2,0.9286,0.17570713079461533,0.9115931844238978,0.9116826586501661,0.8231864785681929,0.9353412019091497,0.9768211105278791,,2
MiniBooNE,stratified,0.25,2,0.9319,0.17026300693695226,0.9167407472286864,0.9222364661610184,0.8338762287816411,0.9405494194863034,0.9780913987283694,,2
MiniBooNE,random,0.25,3,0.9322,0.17731942358952132,0.9172196386664089,0.9233144710954385,0.8349224622291406,0.9326419569669484,0.9766370010963837,,2
MiniBooNE,stratified,0.25,3,0.9334,0.16879468434463774,0.9179618632541036,0.9202357591490968,0.8359922018481236,0.9392867719170206,0.9782210654677583,,2
MiniBooNE,random,0.25,4,0.9317,0.17313499617362174,0.9157324764481833,0.9173152232863728,0.8314985100613524,0.9383420109331126,0.9777310812388006,,2
MiniBooNE,stratified,0.25,4,0.9312,0.17007105285571997,0.9148679215399007,0.9152287157806132,0.8297376040643893,0.9433496812048894,0.9780399531089403,,2
MiniBooNE,random,0.5,1,0.9331,0.165823742158776,0.9178112797347642,0.921222811596977,0.8357758208994089,0.9406402115168837,0.9791108740533956,,2
MiniBooNE,stratified,0.5,1,0.9329,0.16599294016260566,0.9171774172415708,0.9185840005659266,0.8343812317241284,0.941888797513146,0.9790146704973715,,2
MiniBooNE,random,0.5,2,0.9334,0.16734717882308914,0.9183610787987693,0.9227355654539866,0.8369723894975404,0.9395968847969991,0.9790911577736336,,2
MiniBooNE,stratified,0.5,2,0.9327,0.1717144624205126,0.9184597830867877,0.9280094721367355,0.8380801657478649,0.9428086385877454,0.979191473016141,,2
MiniBooNE,random,0.5,3,0.936,0.16096701151690476,0.9213323120300743,0.9245426268940756,0.8427988848796174,0.9442971801936647,0.980481006881675,,2
MiniBooNE,stratified,0.5,3,0.9337,0.16469290427180713,0.9185656539972061,0.9220745746980487,0.8372929474995396,0.9436385272661133,0.9793911375025239,,2
MiniBooNE,random,0.5,4,0.9332,0.16682707497569904,0.9178906006813901,0.9210749394987626,0.8359148574940468,0.9421448627858974,0.9792276112726392,,2
MiniBooNE,stratified,0.5,4,0.9346,0.165681174856515,0.9194055590644123,0.9215045364286505,0.8388692332580012,0.9452124302542056,0.9793453392597101,,2
MiniBooNE,random,1.0,1,0.9372,0.15962645262300976,0.9228073311795104,0.926028778634924,0.8457491823305762,0.9450492738281665,0.9804747155059722,,2
MiniBooNE,stratified,1.0,1,0.9349,0.1626665005136901,0.9195941229899411,0.9207348584420652,0.8392054899066094,0.9441288639696499,0.9798427047089807,,2
MiniBooNE,random,1.0,2,0.9332,0.17093232056993599,0.9193179185143829,0.93031335410379,0.8401591799070676,0.9407056025706314,0.9789468276704018,,2
MiniBooNE,stratified,1.0,2,0.9348,0.17143486344267284,0.9214388015975974,0.9335991365260232,0.8447178069870385,0.9435186322375915,0.9793404349589654,,2
MiniBooNE,random,1.0,3,0.9348,0.16303867401564104,0.9195139591187202,0.9208827305402796,0.8390527212533899,0.9430097068662436,0.9794258886840641,,2
MiniBooNE,stratified,1.0,3,0.9343,0.16523342123412638,0.9187302332475704,0.9192309719571092,0.837463810821668,0.9399259182225194,0.9790943282306809,,2
MiniBooNE,random,1.0,4,0.9349,0.1613049499489078,0.920540955223925,0.9268213433583186,0.8415888719874266,0.9458066928440665,0.9805523917036272,,2
MiniBooNE,stratified,1.0,4,0.9344,0.16192427974420578,0.9197721332907735,0.9251695847751482,0.8399213842513152,0.9470103286192151,0.9805459021743589,,2
covertype,random,0.1,1,0.7568,0.6015130039883022,0.48924736994620666,0.47564069769390355,0.6034823516061811,0.6305764153906538,0.9408232091186944,0.9637,7
covertype,stratified,0.1,1,0.7256,0.647313812208415,0.4292656553722153,0.4332943578326515,0.5513422779942496,0.538405721083876,0.9300476814620201,0.9604,7
covertype,random,0.1,2,0.7328,0.6637795554792698,0.42578713201054547,0.43674271622135546,0.5658354935541094,0.54892155515382,0.9335030865884264,0.9595,7
covertype,stratified,0.1,2,0.7366,0.6359409059192802,0.5341977309203535,0.5120576011011589,0.5694165090900332,0.5862467103639216,0.9391811656821044,0.9562,7
covertype,random,0.1,3,0.7401,0.6284807064424038,0.5467859124349398,0.5249906349449815,0.5729673761277044,0.6135294137230992,0.9406936340473538,0.9629,7
covertype,stratified,0.1,3,0.7163,0.6536593963904399,0.4659140379011998,0.4350396306308535,0.5303556928561686,0.5604603684742776,0.9342733716891024,0.9597,7
covertype,random,0.1,4,0.7289,0.654407200334682,0.49136926157247673,0.45703277331013775,0.5540563374077666,0.5436700011281003,0.9333303050589385,0.9568,7
covertype,stratified,0.1,4,0.7359,0.6528925875982502,0.4362516125261053,0.43430568174410566,0.5656646816999602,0.5866503102035231,0.9315196337435309,0.9559,7
covertype,random,0.25,1,0.7782,0.5411582681336595,0.59310921618018,0.558709350595725,0.639741216708307,0.7029489858932492,0.9547642004811335,0.9734,7
covertype,stratified,0.25,1,0.7725,0.55868126264822,0.5726661571511371,0.5590672389677308,0.6319497164531978,0.6477103265948561,0.9535866136879283,0.9701,7
covertype,random,0.25,2,0.7701,0.5548683083552441,0.5750376659930844,0.5469216143375916,0.6279668524710083,0.6830246502220243,0.9538005789637537,0.9714,7
covertype,stratified,0.25,2,0.7694,0.5449040380356751,0.6168706745494148,0.5795204562128582,0.6250320126260114,0.6863312303906718,0.9566218890910431,0.9733,7
covertype,random,0.25,3,0.7796,0.5525481877567261,0.6430263922697226,0.615667000487042,0.643611287086703,0.6927607278593114,0.9552004233414454,0.9718,7
covertype,stratified,0.25,3,0.7823,0.532958913690636,0.6011818594377937,0.5696452209382864,0.6470638325367268,0.6983343264943572,0.95801920065174,0.9725,7
covertype,random,0.25,4,0.7748,0.5518212043713766,0.5899468125681909,0.5674383726875674,0.6322539230215164,0.6566969341290098,0.9516190589143863,0.9667,7
covertype,stratified,0.25,4,0.7779,0.5429161138924558,0.5950427160699286,0.5834430212648538,0.6355235167777774,0.6883095345987401,0.9555482259159053,0.9731,7
covertype,random,0.5,1,0.813,0.4627770736261645,0.6752149477883734,0.638950514930294,0.697740440821183,0.758602696145096,0.9684046986390182,0.9767,7
covertype,stratified,0.5,1,0.8115,0.45622293851346324,0.6743555727016621,0.647555127816317,0.6960710330649355,0.7466562335640922,0.9677572161333367,0.9784,7
covertype,random,0.5,2,0.8171,0.4569699847171092,0.6769611121498659,0.6344105943203794,0.7027003691707323,0.7618210513962562,0.9683853966754791,0.9806,7
