dataset,strategy,seed,class_0_auc,class_1_auc,class_2_auc,class_3_auc,class_4_auc,class_5_auc,class_6_auc,class_7_auc,class_8_auc,class_9_auc
pendigits,random,1,0.9999977833440471,0.9999290670095095,0.9997384345975662,0.9957684495599187,1.0,0.9999570885025795,1.0,0.9999688465201563,1.0,0.9998927212564486
pendigits,stratified,1,0.9999977833440471,0.9999290670095095,0.9997384345975662,0.9957684495599187,1.0,0.9999570885025795,1.0,0.9999688465201563,1.0,0.9998927212564486
pendigits,coreset,1,0.9999977833440471,0.9999290670095095,0.9997384345975662,0.9957684495599187,1.0,0.9999570885025795,1.0,0.9999688465201563,1.0,0.9998927212564486
pendigits,prototype,1,0.9999977833440471,0.9999290670095095,0.9997384345975662,0.9957684495599187,1.0,0.9999570885025795,1.0,0.9999688465201563,1.0,0.9998927212564486
pendigits,stratified_coreset,1,0.9999977833440471,0.9999290670095095,0.9997384345975662,0.9957684495599187,1.0,0.9999570885025795,1.0,0.9999688465201563,1.0,0.9998927212564486
pendigits,random,2,1.0,0.9999800500964245,0.9995566688094341,0.9953083429486874,1.0,0.9999928480837633,1.0,0.9999621707744755,1.0,0.9999785442512897
pendigits,stratified,2,1.0,0.9999800500964245,0.9995566688094341,0.9953083429486874,1.0,0.9999928480837633,1.0,0.9999621707744755,1.0,0.9999785442512897
pendigits,coreset,2,1.0,0.9999800500964245,0.9995566688094341,0.9953083429486874,1.0,0.9999928480837633,1.0,0.9999621707744755,1.0,0.9999785442512897
pendigits,prototype,2,1.0,0.9999800500964245,0.9995566688094341,0.9953083429486874,1.0,0.9999928480837633,1.0,0.9999621707744755,1.0,0.9999785442512897
pendigits,stratified_coreset,2,1.0,0.9999800500964245,0.9995566688094341,0.9953083429486874,1.0,0.9999928480837633,1.0,0.9999621707744755,1.0,0.9999785442512897
pendigits,random,3,1.0,0.9999423669452264,0.9995943519606322,0.9960879018184939,1.0,0.9999260968655536,1.0,0.9999732970172768,1.0,0.9999880801396054
pendigits,stratified,3,1.0,0.9999423669452264,0.9995943519606322,0.9960879018184939,1.0,0.9999260968655536,1.0,0.9999732970172768,1.0,0.9999880801396054
pendigits,coreset,3,1.0,0.9999423669452264,0.9995943519606322,0.9960879018184939,1.0,0.9999260968655536,1.0,0.9999732970172768,1.0,0.9999880801396054
pendigits,prototype,3,1.0,0.9999423669452264,0.9995943519606322,0.9960879018184939,1.0,0.9999260968655536,1.0,0.9999732970172768,1.0,0.9999880801396054
pendigits,stratified_coreset,3,1.0,0.9999423669452264,0.9995943519606322,0.9960879018184939,1.0,0.9999260968655536,1.0,0.9999732970172768,1.0,0.9999880801396054
pendigits,random,4,1.0,0.9999689668166605,0.9996320351118303,0.9965909199271458,1.0,1.0,1.0,0.9999777475143974,1.0,0.9999856961675265
pendigits,stratified,4,1.0,0.9999689668166605,0.9996320351118303,0.9965909199271458,1.0,1.0,1.0,0.9999777475143974,1.0,0.9999856961675265
pendigits,coreset,4,1.0,0.9999689668166605,0.9996320351118303,0.9965909199271458,1.0,1.0,1.0,0.9999777475143974,1.0,0.9999856961675265
pendigits,prototype,4,1.0,0.9999689668166605,0.9996320351118303,0.9965909199271458,1.0,1.0,1.0,0.9999777475143974,1.0,0.9999856961675265
pendigits,stratified_coreset,4,1.0,0.9999689668166605,0.9996320351118303,0.9965909199271458,1.0,1.0,1.0,0.9999777475143974,1.0,0.9999856961675265
connect-4,random,1,0.7816756820898416,0.8996621827689611,0.8893867599390791,,,,,,,
connect-4,stratified,1,0.7804263151954017,0.8993999317619323,0.886517875723117,,,,,,,
connect-4,coreset,1,0.7766238036113788,0.9000638303971494,0.8888567990084161,,,,,,,
connect-4,prototype,1,0.7507542566400109,0.8611509699353764,0.8448495697384973,,,,,,,
connect-4,stratified_coreset,1,0.7227974727873141,0.8802249215941154,0.867432902771752,,,,,,,
connect-4,random,2,0.7783567329148324,0.9012100672056598,0.8917959905150286,,,,,,,
connect-4,stratified,2,0.7862999140423537,0.8957258851389085,0.8863122218966555,,,,,,,
connect-4,coreset,2,0.782914166804141,0.9018292155919889,0.8913408491671442,,,,,,,
connect-4,prototype,2,0.7427094313192617,0.8667248410921626,0.8461704043338276,,,,,,,
connect-4,stratified_coreset,2,0.7060857434757567,0.8722968532681099,0.8582707047191152,,,,,,,
connect-4,random,3,0.8058108526593327,0.9103776177413804,0.9017614654786759,,,,,,,
connect-4,stratified,3,0.8039834567708287,0.9050526344829847,0.897136099310615,,,,,,,
connect-4,coreset,3,0.793954717396149,0.9038520561621282,0.895751247959966,,,,,,,
connect-4,prototype,3,0.745365493648685,0.8681666289122925,0.8437969831303846,,,,,,,
connect-4,stratified_coreset,3,0.7425357216245706,0.8852823463204789,0.8710738779585465,,,,,,,
connect-4,random,4,0.7917906685305295,0.9090614593075022,0.9028274333668932,,,,,,,
connect-4,stratified,4,0.7942168158625142,0.9115085785769108,0.9025538061939855,,,,,,,
connect-4,coreset,4,0.7999306550435721,0.9145577382205814,0.9085846735618937,,,,,,,
connect-4,prototype,4,0.7575343179391003,0.8739237578613336,0.8610562782410027,,,,,,,
connect-4,stratified_coreset,4,0.7431364411219066,0.8939928839291161,0.8792877611389044,,,,,,,
covertype,random,1,0.9536252145537962,0.9463296706006062,0.9923600625457506,0.9964941608538855,0.9797446413870402,0.983916080781935,0.993477988283871,,,
covertype,stratified,1,0.953537113900289,0.9450774204166531,0.9924534480294189,0.9982599066677212,0.9780355141392,0.9814286635277748,0.9962262776873493,,,
covertype,coreset,1,0.9386949379548666,0.930012334786387,0.9928294155610708,0.9991983599513459,0.9601098255289181,0.9848738139949714,0.9945689055970371,,,
covertype,stratified_coreset,1,0.928237809088258,0.9182550635943131,0.9890039026122814,0.9973706206404143,0.9793596693083645,0.9779114589779558,0.9931021136779887,,,
covertype,random,2,0.9563615578302014,0.9498317044915305,0.9924608980772813,0.9957117601663992,0.9816893393110426,0.9852299473315684,0.9955118222841371,,,
covertype,stratified,2,0.9251508977288248,0.9169071345640423,0.9913804678803315,0.9959212554324475,0.9625857973199496,0.9842997946286267,0.9923961741838162,,,
covertype,coreset,2,0.9421486044355766,0.9317306516199724,0.9907967652931722,0.9981872246366433,0.9653909481347761,0.9810876994717297,0.9949993994815867,,,
covertype,stratified_coreset,2,0.927050824364851,0.9163836926263128,0.9860779396286237,0.9943094245079533,0.973181518364594,0.973587869264245,0.9925394763773089,,,
covertype,random,3,0.9510607128754378,0.9429508124677001,0.9918633349359599,0.9978345030152355,0.9727717493726381,0.9844014977596007,0.9892132797672867,,,
covertype,stratified,3,0.9602014686262395,0.9532185475354762,0.9936125368712398,0.9976549356443369,0.9741845535067796,0.9850775650132955,0.9903232844627827,,,
covertype,coreset,3,0.9396715559291955,0.9312122727962606,0.9921128249108809,0.9983625165939489,0.9673784207341871,0.9836033867487372,0.9926783737902637,,,
covertype,stratified_coreset,3,0.9326223813472829,0.9222924867710637,0.9871819327676494,0.9936296337466946,0.9780336543707039,0.9745683563981093,0.9915266705056776,,,
covertype,random,4,0.9544977174981106,0.9480851903154516,0.9918901897596492,0.997047826914156,0.9797911355994406,0.9849248379386465,0.9945968025404425,,,
covertype,stratified,4,0.955372724037674,0.9504331544072866,0.9923011551905611,0.9970756171025095,0.9763301064283518,0.9829314565715563,0.994209769157198,,,
covertype,coreset,4,0.9411906770947451,0.932311909116583,0.9929186428784905,0.9978345030152355,0.9631307094892828,0.9845859424208585,0.9933743291152177,,,
covertype,stratified_coreset,4,0.9320171587785286,0.9225231486373379,0.9866756760268721,0.9952478777915779,0.9762079816304465,0.972802169482924,0.9920728632923503,,,
jannis,random,1,0.8490682621183296,0.8064740110839659,0.903080800419241,0.8893984247447113,,,,,,
jannis,stratified,1,0.8615418671516386,0.8042385212229914,0.9022237698587819,0.8890176197633578,,,,,,
jannis,coreset,1,0.8412021939491235,0.8067912961240161,0.9008423433362753,0.891293291330927,,,,,,
jannis,stratified_coreset,1,0.8513006962330912,0.7904308152833693,0.9027225148940865,0.8882630144062597,,,,,,
jannis,random,2,0.8575019585204907,0.8064567018064946,0.9059255019858782,0.8888821973882564,,,,,,
jannis,stratified,2,0.8572227138620602,0.8013586874133317,0.9048071353706972,0.887331140194001,,,,,,
jannis,coreset,2,0.8497531731078255,0.8069389236492869,0.9022259763901148,0.8919989650896495,,,,,,
jannis,stratified_coreset,2,0.852765461395949,0.7895463355838496,0.9019787069726389,0.8889251509180522,,,,,,
jannis,random,3,0.8510346522312411,0.8010744251945776,0.9055815589143865,0.8867849621101157,,,,,,
jannis,stratified,3,0.8466748815368003,0.8011052095561751,0.9015802901588702,0.8870425222634747,,,,,,
jannis,coreset,3,0.8483935054800494,0.8012205013121363,0.9003849018093557,0.8901067151664486,,,,,,
jannis,stratified_coreset,3,0.8501684860725457,0.7922227576795124,0.902808362753751,0.8862967129197414,,,,,,
jannis,random,4,0.8350349487382964,0.7958300465652808,0.9020190451235657,0.8830625979462254,,,,,,
jannis,stratified,4,0.8324669133158576,0.803833847602827,0.9042199911738747,0.8866994576140648,,,,,,
jannis,coreset,4,0.842970066495769,0.8041397630406456,0.9011656346535747,0.8909872222709101,,,,,,
jannis,stratified_coreset,4,0.8414682379509737,0.7996011641054255,0.9029012439320389,0.8887930295639848,,,,,,
volkert,random,1,0.8244671999641142,0.926124271703235,0.9064344794563677,0.848088169537055,0.911084219858156,0.8615902272781818,0.9374792969778839,0.9866355724354144,0.9477763213342995,0.9295302255224793
volkert,stratified,1,0.8240060543115446,0.9249827529932533,0.9018013646308038,0.8544684181782032,0.9093966312056738,0.861554264488961,0.9477621345967091,0.9872384578829781,0.9409296698921786,0.933079932923421
volkert,coreset,1,0.805743185191536,0.8390489250018125,0.8720516083328961,0.8349660947702138,0.8857547872340427,0.8157158127350367,0.9392837925835917,0.9879554200872189,0.9322901721703677,0.927967065717563
volkert,stratified_coreset,1,0.7355832068099429,0.9072630063872634,0.8862756366527947,0.8452430538951796,0.9036340425531915,0.8233255980106005,0.9425627473253715,0.9854121502774252,0.9330661933786847,0.925706065767897
volkert,random,2,0.8299302249276582,0.9502414921290004,0.9091549049713208,0.8678184713242209,0.9144560283687942,0.8681085012858359,0.9443288665974008,0.9870875614672405,0.9551287487734602,0.931246188529693
volkert,stratified,2,0.826754207467973,0.9438838387293405,0.9054363982949936,0.861458776391591,0.9096671985815602,0.8625886931366089,0.9369666699522194,0.9860250429698842,0.9471668414838263,0.9288278288328622
volkert,coreset,2,0.8029407689655759,0.8932023139407888,0.8675956568553448,0.8486823394986068,0.896815780141844,0.8152145490528384,0.9424181291416143,0.9872636656368832,0.9403865429309785,0.9249736276720029
volkert,stratified_coreset,2,0.7589309777373097,0.9260742409189872,0.886988862612567,0.8438723522419063,0.9022934397163122,0.8247160730406464,0.9351601545394759,0.9869831126721246,0.9516388504515733,0.9185014265694249
volkert,random,3,0.8300341387058113,0.9338028058761325,0.9067181047949268,0.8595911154287882,0.9137018617021277,0.8725063737951635,0.9433896563257933,0.9864052599246196,0.9423164892202921,0.929556770045486
volkert,stratified,3,0.8282856017286043,0.9376803618280772,0.9071708205343484,0.8549122104968209,0.9133599290780142,0.8713105187466194,0.9372704489303909,0.9860654804084403,0.9480702953933957,0.9319191796099916
volkert,coreset,3,0.8101661679890577,0.8672836449366293,0.8636927653274992,0.8425342638710269,0.8936074468085106,0.8119239538391385,0.9371973319156982,0.9877098195404908,0.9344297232820863,0.9288423461967421
volkert,stratified_coreset,3,0.751215854511305,0.9033068306315009,0.8784233080111891,0.8297867699553438,0.8980326241134751,0.8107143265930796,0.9370042383630837,0.9856429587741189,0.9418511401491666,0.9223058236352222
volkert,random,4,0.8315184145343992,0.9284580205983886,0.9049421194917271,0.8557081423726027,0.9135994680851063,0.8662356301149591,0.9464557234060087,0.9869383572386866,0.9416955843690168,0.926894052384371
volkert,stratified,4,0.8344089178098991,0.9303847163101377,0.9081462911367114,0.8567773546789887,0.9187937943262412,0.8665497691403085,0.9438356297192793,0.9871254898006626,0.9433935152574293,0.9296275554401702
volkert,coreset,4,0.8134140840158723,0.8648603851825833,0.8741220669973884,0.833741261527904,0.8762044326241136,0.8155937460192627,0.9450786189690582,0.9883792254497483,0.9404304852417552,0.9279527602860026
volkert,stratified_coreset,4,0.7620345087799456,0.921779081074035,0.8786765336581349,0.8370443263794684,0.9091829787234043,0.8155505094420783,0.9311851742931887,0.9844444234379828,0.9334313539812394,0.9110073937887935
jannis,prototype,1,0.8524445838975344,0.7843356446648684,0.9002009322594882,0.8785345229837414,,,,,,
jannis,prototype,2,0.8460701899219081,0.7747745405661202,0.9008789579655783,0.874100627761611,,,,,,
jannis,prototype,3,0.8458838575771008,0.7894085484160659,0.903045426963813,0.8829828098524527,,,,,,
jannis,prototype,4,0.8458432401722381,0.7881201929632047,0.9024033953000883,0.8814949551340922,,,,,,
covertype,prototype,1,0.8040865926258587,0.7979725450340978,0.9819856110122103,0.9929819085873819,0.9746997093801764,0.9643284025127223,0.9813037621817876,,,
covertype,prototype,2,0.7444332775463247,0.7943447738096839,0.9812402597121336,0.9889608821033326,0.9759407948898521,0.9565775896633765,0.9797761842913193,,,
covertype,prototype,3,0.8174847120977694,0.8034165733292604,0.9802506161449468,0.991318772699774,0.970543126791577,0.9631869141511805,0.9831543573116861,,,
covertype,prototype,4,0.8152548720395202,0.7934380961666663,0.98087780622079,0.9898373418898609,0.9681923794126106,0.9616458531496426,0.9822551947779271,,,
volkert,prototype,1,0.7973564660416285,0.9610066193790668,0.907906152493935,0.8490839757415904,0.9089210992907801,0.8649099545665172,0.9109717534025669,0.9722029662991002,0.9422791382561319,0.9036231419496183
volkert,prototype,2,0.792330801418509,0.953408747082814,0.9089757549214704,0.854623409918968,0.9090677304964538,0.8660078165528521,0.9259445829583225,0.9750391303698351,0.9507876878918281,0.9036777145218675
volkert,prototype,3,0.7954356890378833,0.9548504504982827,0.9106160138007031,0.8537414880381611,0.908120390070922,0.8710660160872559,0.9204559593194703,0.9755135554696625,0.9428785113751263,0.910631637786473
volkert,prototype,4,0.77978753114248,0.9477460791350868,0.9059207751240207,0.8579713573585213,0.8930604609929078,0.864367780442372,0.9040276568137787,0.9725939782410402,0.9428635709894623,0.9046285488729173
