dataset,Random,Stratified,k-Center,Prototype (NE),Per-Class k-Center
credit-g,0.8767 ± 0.005,0.8767 ± 0.005,0.8767 ± 0.005,0.8767 ± 0.005,0.8767 ± 0.005
phoneme,0.9086 ± 0.0011,0.9086 ± 0.0011,0.9086 ± 0.0011,0.9086 ± 0.0011,0.9086 ± 0.0011
pendigits,0.9989 ± 0.0002,0.9989 ± 0.0002,0.9989 ± 0.0002,0.9989 ± 0.0002,0.9989 ± 0.0002
mozilla4,0.9863 ± 0.0005,0.9855 ± 0.001,0.9859 ± 0.0015,0.9853 ± 0.0011,0.9869 ± 0.0012
nomao,0.997 ± 0.0003,0.9971 ± 0.0004,0.9973 ± 0.0003,0.9967 ± 0.0001,0.9972 ± 0.0003
bank-marketing,0.6249 ± 0.0101,0.6248 ± 0.0033,0.6281 ± 0.003,0.5972 ± 0.0149,0.5777 ± 0.0146
adult,0.7963 ± 0.0021,0.797 ± 0.0011,0.7985 ± 0.0014,0.7868 ± 0.003,0.7896 ± 0.0028
volkert,0.569 ± 0.0094,0.5608 ± 0.0033,0.5059 ± 0.004,0.5521 ± 0.0098,0.4999 ± 0.0057
connect-4,0.6595 ± 0.0109,0.6579 ± 0.0099,0.6569 ± 0.0107,0.6141 ± 0.0092,0.6173 ± 0.0119
jannis,0.6049 ± 0.0061,0.6005 ± 0.005,0.5977 ± 0.0043,0.5985 ± 0.0073,0.5985 ± 0.0032
numerai28.6,0.5183 ± 0.005,0.5171 ± 0.0042,0.516 ± 0.0094,0.5105 ± 0.0075,0.5082 ± 0.0054
higgs,0.806 ± 0.0018,0.8037 ± 0.0028,0.7785 ± 0.0064,0.787 ± 0.0026,0.7754 ± 0.0074
MiniBooNE,0.9436 ± 0.0023,0.9436 ± 0.0029,0.9345 ± 0.0029,0.915 ± 0.0036,0.8875 ± 0.0068
covertype,0.8139 ± 0.0027,0.8032 ± 0.0296,0.8158 ± 0.0129,0.57 ± 0.0176,0.7356 ± 0.0221
