dataset,Random,Stratified,k-Center,Prototype (NE),Per-Class k-Center
credit-g,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
phoneme,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
pendigits,0.9989 ± 0.0003,0.9989 ± 0.0003,0.9989 ± 0.0003,0.9989 ± 0.0003,0.9989 ± 0.0003
mozilla4,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
nomao,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
bank-marketing,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
adult,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
volkert,0.8002 ± 0.0035,0.7978 ± 0.0023,0.7521 ± 0.0054,0.7892 ± 0.0056,0.7468 ± 0.0094
connect-4,0.9221 ± 0.0028,0.9232 ± 0.0025,0.9199 ± 0.0025,0.8974 ± 0.0052,0.9119 ± 0.0022
jannis,0.9218 ± 0.0014,0.9218 ± 0.0008,0.9214 ± 0.0013,0.9212 ± 0.0011,0.9203 ± 0.0015
numerai28.6,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
higgs,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
MiniBooNE,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
covertype,0.9842 ± 0.002,0.9841 ± 0.0014,0.9843 ± 0.0007,0.9714 ± 0.0015,0.9766 ± 0.0021
