metric,strategy_a,strategy_b,n_pairs,a_wins,b_wins,ties,statistic,p_value,significant_0.05
accuracy,random,stratified,11,4,7,0,29.0,0.764648,False
accuracy,random,coreset,11,6,5,0,21.0,0.320312,False
accuracy,random,prototype,11,9,2,0,5.0,0.009766,True
accuracy,random,stratified_coreset,11,10,1,0,2.0,0.00293,True
accuracy,stratified,coreset,11,8,3,0,10.0,0.041992,True
accuracy,stratified,prototype,11,11,0,0,0.0,0.000977,True
accuracy,stratified,stratified_coreset,11,10,1,0,1.0,0.001953,True
accuracy,coreset,prototype,11,9,2,0,11.0,0.053711,False
accuracy,coreset,stratified_coreset,11,10,1,0,3.0,0.004883,True
accuracy,prototype,stratified_coreset,11,8,3,0,21.0,0.320312,False
log_loss,random,stratified,11,8,3,0,15.0,0.123047,False
log_loss,random,coreset,11,8,3,0,18.0,0.206055,False
log_loss,random,prototype,11,11,0,0,0.0,0.000977,True
log_loss,random,stratified_coreset,11,9,2,0,5.0,0.009766,True
log_loss,stratified,coreset,11,6,5,0,25.0,0.519531,False
log_loss,stratified,prototype,11,11,0,0,0.0,0.000977,True
log_loss,stratified,stratified_coreset,11,8,3,0,6.0,0.013672,True
log_loss,coreset,prototype,11,10,1,0,9.0,0.032227,True
log_loss,coreset,stratified_coreset,11,10,1,0,3.0,0.004883,True
log_loss,prototype,stratified_coreset,11,6,5,0,31.0,0.898438,False
macro_f1,random,stratified,11,5,6,0,29.0,0.764648,False
macro_f1,random,coreset,11,7,4,0,22.0,0.365234,False
macro_f1,random,prototype,11,6,5,0,23.0,0.413086,False
macro_f1,random,stratified_coreset,11,10,1,0,2.0,0.00293,True
macro_f1,stratified,coreset,11,8,3,0,13.0,0.083008,False
macro_f1,stratified,prototype,11,6,5,0,23.0,0.413086,False
macro_f1,stratified,stratified_coreset,11,10,1,0,1.0,0.001953,True
macro_f1,coreset,prototype,11,5,6,0,32.0,0.96582,False
macro_f1,coreset,stratified_coreset,11,10,1,0,1.0,0.001953,True
macro_f1,prototype,stratified_coreset,11,9,2,0,5.0,0.009766,True
balanced_acc,random,stratified,11,5,6,0,31.0,0.898438,False
balanced_acc,random,coreset,11,6,5,0,25.0,0.519531,False
balanced_acc,random,prototype,11,5,6,0,29.0,0.764648,False
balanced_acc,random,stratified_coreset,11,10,1,0,2.0,0.00293,True
balanced_acc,stratified,coreset,11,7,4,0,20.0,0.27832,False
balanced_acc,stratified,prototype,11,6,5,0,29.0,0.764648,False
balanced_acc,stratified,stratified_coreset,11,10,1,0,1.0,0.001953,True
balanced_acc,coreset,prototype,11,4,7,0,26.0,0.577148,False
balanced_acc,coreset,stratified_coreset,11,9,2,0,4.0,0.006836,True
balanced_acc,prototype,stratified_coreset,11,10,1,0,3.0,0.004883,True
mcc,random,stratified,11,4,7,0,29.0,0.764648,False
mcc,random,coreset,11,6,5,0,25.0,0.519531,False
mcc,random,prototype,11,8,3,0,11.0,0.053711,False
mcc,random,stratified_coreset,11,10,1,0,2.0,0.00293,True
mcc,stratified,coreset,11,7,4,0,16.0,0.147461,False
mcc,stratified,prototype,11,9,2,0,6.0,0.013672,True
mcc,stratified,stratified_coreset,11,10,1,0,1.0,0.001953,True
mcc,coreset,prototype,11,7,4,0,17.0,0.174805,False
mcc,coreset,stratified_coreset,11,10,1,0,3.0,0.004883,True
mcc,prototype,stratified_coreset,11,8,3,0,17.0,0.174805,False
pr_auc,random,stratified,11,8,3,0,7.0,0.018555,True
pr_auc,random,coreset,11,7,4,0,15.0,0.123047,False
pr_auc,random,prototype,11,11,0,0,0.0,0.000977,True
pr_auc,random,stratified_coreset,11,9,2,0,3.0,0.004883,True
pr_auc,stratified,coreset,11,6,5,0,24.0,0.464844,False
pr_auc,stratified,prototype,11,11,0,0,0.0,0.000977,True
pr_auc,stratified,stratified_coreset,11,9,2,0,3.0,0.004883,True
pr_auc,coreset,prototype,11,8,3,0,18.0,0.206055,False
pr_auc,coreset,stratified_coreset,11,9,2,0,5.0,0.009766,True
pr_auc,prototype,stratified_coreset,11,5,6,0,28.0,0.700195,False
macro_auc,random,stratified,11,7,4,0,14.0,0.101562,False
macro_auc,random,coreset,11,8,3,0,11.0,0.053711,False
macro_auc,random,prototype,11,11,0,0,0.0,0.000977,True
macro_auc,random,stratified_coreset,11,9,2,0,3.0,0.004883,True
macro_auc,stratified,coreset,11,7,4,0,14.0,0.101562,False
macro_auc,stratified,prototype,11,11,0,0,0.0,0.000977,True
macro_auc,stratified,stratified_coreset,11,9,2,0,3.0,0.004883,True
macro_auc,coreset,prototype,11,10,1,0,9.0,0.032227,True
macro_auc,coreset,stratified_coreset,11,9,2,0,5.0,0.009766,True
macro_auc,prototype,stratified_coreset,11,5,6,0,32.0,0.96582,False
top2_accuracy,random,stratified,4,2,2,0,5.0,1.0,False
top2_accuracy,random,coreset,4,3,1,0,1.0,0.25,False
top2_accuracy,random,prototype,4,4,0,0,0.0,0.125,False
top2_accuracy,random,stratified_coreset,4,4,0,0,0.0,0.125,False
top2_accuracy,stratified,coreset,4,3,1,0,1.0,0.25,False
top2_accuracy,stratified,prototype,4,4,0,0,0.0,0.125,False
top2_accuracy,stratified,stratified_coreset,4,4,0,0,0.0,0.125,False
top2_accuracy,coreset,prototype,4,3,1,0,4.0,0.875,False
top2_accuracy,coreset,stratified_coreset,4,4,0,0,0.0,0.125,False
top2_accuracy,prototype,stratified_coreset,4,2,2,0,5.0,1.0,False
