dataset,strategy,seed,auc,n_sampled,pool_size,sampling_time,inference_time,n_classes
credit-g,random,1,0.7617857142857142,800,800,0.0,0.925,2
credit-g,stratified,1,0.7617857142857142,800,800,0.0,0.821,2
credit-g,coreset,1,0.7617857142857142,800,800,0.0,0.827,2
credit-g,prototype,1,0.7617857142857142,800,800,0.0,0.916,2
credit-g,stratified_coreset,1,0.7617857142857142,800,800,0.0,0.816,2
credit-g,random,2,0.779047619047619,800,800,0.0,0.825,2
credit-g,stratified,2,0.779047619047619,800,800,0.0,0.818,2
credit-g,coreset,2,0.779047619047619,800,800,0.0,0.826,2
credit-g,prototype,2,0.779047619047619,800,800,0.0,0.856,2
credit-g,stratified_coreset,2,0.779047619047619,800,800,0.0,0.822,2
credit-g,random,3,0.7591666666666665,800,800,0.0,0.819,2
credit-g,stratified,3,0.7591666666666665,800,800,0.0,0.881,2
credit-g,coreset,3,0.7591666666666665,800,800,0.0,0.836,2
credit-g,prototype,3,0.7591666666666665,800,800,0.0,0.824,2
credit-g,stratified_coreset,3,0.7591666666666665,800,800,0.0,0.831,2
credit-g,random,4,0.7739285714285715,800,800,0.0,0.846,2
credit-g,stratified,4,0.7739285714285715,800,800,0.0,0.839,2
credit-g,coreset,4,0.7739285714285715,800,800,0.0,0.833,2
credit-g,prototype,4,0.7739285714285715,800,800,0.0,0.842,2
credit-g,stratified_coreset,4,0.7739285714285715,800,800,0.0,0.841,2
pendigits,random,1,0.9995252390790226,8793,8793,0.0,32.195,10
pendigits,stratified,1,0.9995252390790226,8793,8793,0.0,32.245,10
pendigits,coreset,1,0.9995252390790226,8793,8793,0.0,31.633,10
pendigits,prototype,1,0.9995252390790226,8793,8793,0.0,30.934,10
pendigits,stratified_coreset,1,0.9995252390790226,8793,8793,0.0,30.883,10
pendigits,random,2,0.9994778624964076,8793,8793,0.0,32.706,10
pendigits,stratified,2,0.9994778624964076,8793,8793,0.0,29.019,10
pendigits,coreset,2,0.9994778624964076,8793,8793,0.0,30.891,10
pendigits,prototype,2,0.9994778624964076,8793,8793,0.0,32.119,10
pendigits,stratified_coreset,2,0.9994778624964076,8793,8793,0.0,31.804,10
pendigits,random,3,0.9995512094746788,8793,8793,0.0,31.765,10
pendigits,stratified,3,0.9995512094746788,8793,8793,0.0,30.914,10
pendigits,coreset,3,0.9995512094746788,8793,8793,0.0,33.939,10
pendigits,prototype,3,0.9995512094746788,8793,8793,0.0,34.143,10
pendigits,stratified_coreset,3,0.9995512094746788,8793,8793,0.0,32.139,10
pendigits,random,4,0.999615536553756,8793,8793,0.0,31.801,10
pendigits,stratified,4,0.999615536553756,8793,8793,0.0,34.489,10
pendigits,coreset,4,0.999615536553756,8793,8793,0.0,33.9,10
pendigits,prototype,4,0.999615536553756,8793,8793,0.0,34.922,10
pendigits,stratified_coreset,4,0.999615536553756,8793,8793,0.0,33.731,10
phoneme,random,1,0.954997770327184,4323,4323,0.0,3.561,2
phoneme,stratified,1,0.954997770327184,4323,4323,0.0,3.057,2
phoneme,coreset,1,0.954997770327184,4323,4323,0.0,3.613,2
phoneme,prototype,1,0.954997770327184,4323,4323,0.0,3.197,2
phoneme,stratified_coreset,1,0.954997770327184,4323,4323,0.0,3.402,2
phoneme,random,2,0.954097643153253,4323,4323,0.0,3.607,2
phoneme,stratified,2,0.954097643153253,4323,4323,0.0,3.503,2
phoneme,coreset,2,0.954097643153253,4323,4323,0.0,2.998,2
phoneme,prototype,2,0.954097643153253,4323,4323,0.0,3.34,2
phoneme,stratified_coreset,2,0.954097643153253,4323,4323,0.0,3.009,2
phoneme,random,3,0.9541224172956546,4323,4323,0.0,3.529,2
phoneme,stratified,3,0.9541224172956546,4323,4323,0.0,3.004,2
phoneme,coreset,3,0.9541224172956546,4323,4323,0.0,3.635,2
phoneme,prototype,3,0.9541224172956546,4323,4323,0.0,3.517,2
phoneme,stratified_coreset,3,0.9541224172956546,4323,4323,0.0,3.52,2
phoneme,random,4,0.9551835763951972,4323,4323,0.0,3.0,2
phoneme,stratified,4,0.9551835763951972,4323,4323,0.0,3.529,2
phoneme,coreset,4,0.9551835763951972,4323,4323,0.0,3.65,2
phoneme,prototype,4,0.9551835763951972,4323,4323,0.0,3.506,2
phoneme,stratified_coreset,4,0.9551835763951972,4323,4323,0.0,3.857,2
bank-marketing,random,1,0.9285499868018128,10000,36168,0.0,60.131,2
bank-marketing,stratified,1,0.9308132687352112,10000,36168,0.005,58.6,2
bank-marketing,coreset,1,0.9272977570184172,10000,36168,5.601,59.432,2
bank-marketing,prototype,1,0.92549392587472,10000,36168,1.115,51.738,2
bank-marketing,stratified_coreset,1,0.9008336756181544,10000,36168,3.94,53.097,2
bank-marketing,random,2,0.9321888986083312,10000,36168,0.0,60.897,2
bank-marketing,stratified,2,0.9316596690628576,10000,36168,0.004,55.01,2
bank-marketing,coreset,2,0.9317729485696834,10000,36168,5.694,59.533,2
bank-marketing,prototype,2,0.9222574699963187,10000,36168,1.118,51.34,2
bank-marketing,stratified_coreset,2,0.922981772297538,10000,36168,4.08,61.434,2
bank-marketing,random,3,0.9307380449874704,10000,36168,0.0,51.727,2
bank-marketing,stratified,3,0.9320752639933332,10000,36168,0.005,62.802,2
bank-marketing,coreset,3,0.9280470352610578,10000,36168,5.612,52.869,2
bank-marketing,prototype,3,0.9272273272309968,10000,36168,1.128,51.493,2
bank-marketing,stratified_coreset,3,0.9129436928645748,10000,36168,3.775,50.712,2
bank-marketing,random,4,0.9304972816469445,10000,36168,0.0,55.343,2
bank-marketing,stratified,4,0.9286109470379834,10000,36168,0.005,54.767,2
bank-marketing,coreset,4,0.931000706665262,10000,36168,4.677,50.774,2
bank-marketing,prototype,4,0.9251803653589612,10000,36168,1.124,51.137,2
bank-marketing,stratified_coreset,4,0.9158296569773428,10000,36168,3.771,53.835,2
mozilla4,random,1,0.9767580877616258,10000,12436,0.0,13.235,2
mozilla4,stratified,1,0.9737532783787812,10000,12436,0.002,13.839,2
mozilla4,coreset,1,0.976368479929336,10000,12436,1.548,12.666,2
mozilla4,prototype,1,0.974590630470802,10000,12436,0.118,13.66,2
mozilla4,stratified_coreset,1,0.9770595532684394,10000,12436,1.038,13.236,2
mozilla4,random,2,0.9777154634457836,10000,12436,0.0,13.441,2
mozilla4,stratified,2,0.9764219279352098,10000,12436,0.002,13.025,2
mozilla4,coreset,2,0.9744241915051428,10000,12436,1.299,13.083,2
mozilla4,prototype,2,0.9753220242353888,10000,12436,0.12,13.188,2
mozilla4,stratified_coreset,2,0.9771519151733264,10000,12436,0.77,12.859,2
mozilla4,random,3,0.9777871962957718,10000,12436,0.0,13.505,2
mozilla4,stratified,3,0.9773497665634902,10000,12436,0.002,13.099,2
mozilla4,coreset,3,0.9784913972152652,10000,12436,1.606,13.041,2
mozilla4,prototype,3,0.9760203646279222,10000,12436,0.116,13.23,2
mozilla4,stratified_coreset,3,0.9803437925767284,10000,12436,0.864,12.943,2
mozilla4,random,4,0.9768898324076826,10000,12436,0.0,13.675,2
mozilla4,stratified,4,0.977273345291934,10000,12436,0.002,13.193,2
