dataset,Random,Stratified,k-Center,Prototype (NE),Per-Class k-Center
credit-g,0.7685 ± 0.0095,0.7685 ± 0.0095,0.7685 ± 0.0095,0.7685 ± 0.0095,0.7685 ± 0.0095
phoneme,0.9546 ± 0.0006,0.9546 ± 0.0006,0.9546 ± 0.0006,0.9546 ± 0.0006,0.9546 ± 0.0006
pendigits,0.9995 ± 0.0001,0.9995 ± 0.0001,0.9995 ± 0.0001,0.9995 ± 0.0001,0.9995 ± 0.0001
mozilla4,0.9773 ± 0.0005,0.9762 ± 0.0017,0.9767 ± 0.0017,0.9759 ± 0.0013,0.9783 ± 0.0015
nomao,0.9922 ± 0.0008,0.9925 ± 0.0011,0.9930 ± 0.0007,0.9915 ± 0.0003,0.9927 ± 0.0008
bank-marketing,0.9305 ± 0.0015,0.9308 ± 0.0015,0.9295 ± 0.0022,0.9250 ± 0.0021,0.9131 ± 0.0092
adult,0.9149 ± 0.0010,0.9153 ± 0.0004,0.9158 ± 0.0006,0.9111 ± 0.0012,0.9088 ± 0.0031
volkert,0.9114 ± 0.0033,0.9107 ± 0.0015,0.8879 ± 0.0032,0.9019 ± 0.0032,0.8891 ± 0.0032
connect-4,0.8636 ± 0.0079,0.8624 ± 0.0077,0.8632 ± 0.0084,0.8219 ± 0.0060,0.8269 ± 0.0116
jannis,0.8605 ± 0.0046,0.8607 ± 0.0034,0.8607 ± 0.0014,0.8532 ± 0.0029,0.8581 ± 0.0002
numerai28.6,0.5156 ± 0.0045,0.5135 ± 0.0039,0.5124 ± 0.0095,0.5061 ± 0.0118,0.5040 ± 0.0060
higgs,0.7871 ± 0.0016,0.7859 ± 0.0013,0.7651 ± 0.0071,0.7583 ± 0.0023,0.7596 ± 0.0042
MiniBooNE,0.9798 ± 0.0008,0.9797 ± 0.0006,0.9768 ± 0.0006,0.9674 ± 0.0013,0.9595 ± 0.0011
covertype,0.9780 ± 0.0016,0.9756 ± 0.0058,0.9720 ± 0.0003,0.9257 ± 0.0057,0.9680 ± 0.0013
