dataset,coreset,prototype,random,stratified,stratified_coreset
higgs,91.7833,88.8344,94.9615,95.8035,90.3221
MiniBooNE,97.6882,86.7629,99.1888,99.2759,93.2159
covertype,95.8672,95.8636,95.8179,95.7116,94.1606
bank-marketing,94.3136,93.5469,97.2153,97.8759,89.4313
nomao,99.1907,96.3437,99.4621,99.2796,99.1388
connect-4,85.1935,69.5974,91.5476,91.1917,83.6365
jannis,93.1943,90.7795,95.0762,95.9129,89.5324
volkert,94.5842,89.9176,95.316,95.4238,86.582
mozilla4,97.7947,94.0057,98.3195,98.4531,93.6258
adult,98.6886,80.3258,98.7543,98.7087,96.1399
numerai28.6,98.8968,99.4137,97.4435,99.2117,99.9044
