dataset,budget_fraction,strategy,mean,std
MiniBooNE,0.1,coreset,0.9541801151014616,0.0038978555600310298
MiniBooNE,0.1,prototype,0.8393071927168261,0.01770187819988619
MiniBooNE,0.1,random,0.9719015271893442,0.001026837826224063
MiniBooNE,0.1,stratified,0.9726115609527302,0.0015034736216823644
MiniBooNE,0.1,stratified_coreset,0.8943730592096724,0.018690003979433586
MiniBooNE,0.25,coreset,0.9689774369470401,0.002014229326608725
MiniBooNE,0.25,prototype,0.9096699261937413,0.014664144576930695
MiniBooNE,0.25,random,0.9769825499530277,0.0005046810243024218
MiniBooNE,0.25,stratified,0.9778465118829722,0.0005472525467389838
MiniBooNE,0.25,stratified_coreset,0.9272860630076819,0.007520278805295629
MiniBooNE,0.5,coreset,0.9733750342557976,0.0021510582374081252
MiniBooNE,0.5,prototype,0.9547571568609384,0.002704381484190942
MiniBooNE,0.5,random,0.9794776624953359,0.0006716013779540953
MiniBooNE,0.5,stratified,0.9792356550689366,0.00017028568497177152
MiniBooNE,0.5,stratified_coreset,0.9444415547049483,0.003765560252545117
MiniBooNE,1.0,coreset,0.9767608284978908,0.0005997160046213923
MiniBooNE,1.0,prototype,0.9673571909730747,0.0013459971920125303
MiniBooNE,1.0,random,0.9798499558910163,0.0007914573532837683
MiniBooNE,1.0,stratified,0.9797058425182464,0.000640807795769492
MiniBooNE,1.0,stratified_coreset,0.9594641090391514,0.0010676159329404153
adult,0.1,coreset,0.9038256680594633,0.00738559933864515
adult,0.1,prototype,0.7318718653010606,0.030798286742849453
adult,0.1,random,0.9034691589196024,0.0014709708433378191
adult,0.1,stratified,0.9035187526210628,0.005696699796386047
adult,0.1,stratified_coreset,0.8736825400470758,0.011266883135559652
adult,0.25,coreset,0.9126996885748659,0.0023361005528555905
adult,0.25,prototype,0.8231163185480933,0.015140885355333152
adult,0.25,random,0.9094992795998637,0.0007841450747600454
adult,0.25,stratified,0.9100941234204986,0.00029599167344729804
adult,0.25,stratified_coreset,0.8864720095537628,0.001092312818169434
adult,0.5,coreset,0.9141555691316484,0.001322963020283749
adult,0.5,prototype,0.8893984480430683,0.002703140191272615
adult,0.5,random,0.9123612239734153,0.000992380402696388
adult,0.5,stratified,0.9131580471906986,0.0006617688253432903
adult,0.5,stratified_coreset,0.9003417051357807,0.0032276998315382346
adult,1.0,coreset,0.9158363588872775,0.0005845557147753108
adult,1.0,prototype,0.9111296554477412,0.0011579659194175364
adult,1.0,random,0.9148651914695322,0.001028656809876302
adult,1.0,stratified,0.9153388390184278,0.0004097377247528568
adult,1.0,stratified_coreset,0.908762029260586,0.0030721250141885568
bank-marketing,0.1,coreset,0.8766724115277582,0.012914270695214026
bank-marketing,0.1,prototype,0.8653464139401263,0.014197795080016068
bank-marketing,0.1,random,0.9045817240028267,0.009869949009325479
bank-marketing,0.1,stratified,0.9110188586113139,0.0025294374522772923
bank-marketing,0.1,stratified_coreset,0.8166395551441561,0.005810595559345857
bank-marketing,0.25,coreset,0.9102661032678238,0.004385667317505624
bank-marketing,0.25,prototype,0.8883885842192295,0.0022410650108129707
bank-marketing,0.25,random,0.9196820775721963,0.002985483135353594
bank-marketing,0.25,stratified,0.920049910453556,0.0029654925544575104
bank-marketing,0.25,stratified_coreset,0.8796731791532564,0.019845022627309413
bank-marketing,0.5,coreset,0.9202871227123635,0.004584325169726076
bank-marketing,0.5,prototype,0.9134866088708388,0.0021647253764329917
bank-marketing,0.5,random,0.9259717239199681,0.003583414182327946
bank-marketing,0.5,stratified,0.9267544415154596,0.0015644546495897625
bank-marketing,0.5,stratified_coreset,0.8969567081709207,0.007167309245084849
bank-marketing,1.0,coreset,0.9295296118786052,0.0021890552699516657
bank-marketing,1.0,prototype,0.9250397721152492,0.002061764985221565
bank-marketing,1.0,random,0.9304935530111397,0.001495709032885889
bank-marketing,1.0,stratified,0.9307897872073463,0.0015445647580725151
bank-marketing,1.0,stratified_coreset,0.9131471994394025,0.009229999739387335
connect-4,0.1,coreset,0.7353803076318374,0.01903833368257941
connect-4,0.1,prototype,0.5719859938802986,0.027967239144001125
connect-4,0.1,random,0.7906448983239158,0.012975216456914438
connect-4,0.1,stratified,0.7864621565023866,0.00456296019151796
connect-4,0.1,stratified_coreset,0.6915635722554537,0.013431390367016434
connect-4,0.25,coreset,0.8056864393498994,0.0066579764748733805
connect-4,0.25,prototype,0.6709050097713098,0.021991233400855018
connect-4,0.25,random,0.8308058450960571,0.0032613186455604
connect-4,0.25,stratified,0.8282779855895996,0.001687330232613903
connect-4,0.25,stratified_coreset,0.7770026698463033,0.009391644894875694
connect-4,0.5,coreset,0.8418582451033152,0.006515640922093939
connect-4,0.5,prototype,0.73959960737199,0.016930257076629766
connect-4,0.5,random,0.852941899541227,0.005885797326340049
connect-4,0.5,stratified,0.852721712247882,0.003300837424280896
connect-4,0.5,stratified_coreset,0.8100774129453369,0.006803043159769757
connect-4,1.0,coreset,0.863188312743709,0.008383081549302342
connect-4,1.0,prototype,0.8218502443993279,0.005996679798877251
connect-4,1.0,random,0.863643076043143,0.007896931220260127
connect-4,1.0,stratified,0.862427794579684,0.0076859438091014245
connect-4,1.0,stratified_coreset,0.8268681358924739,0.01162960172325284
covertype,0.1,coreset,0.9317944032477992,0.0015887061881558692
covertype,0.1,prototype,0.887405950293508,0.011954532142968655
covertype,0.1,random,0.9370875587033533,0.004239664243915432
covertype,0.1,stratified,0.9337554631441893,0.004018832973319173
covertype,0.1,stratified_coreset,0.9114669779982969,0.0030351412068151946
covertype,0.25,coreset,0.9478814582770988,0.0024836900527745514
covertype,0.25,prototype,0.8861080281569969,0.004931139266256914
covertype,0.25,random,0.9538460654251797,0.0015957113736107238
covertype,0.25,stratified,0.9559439823366542,0.0018690370705680304
covertype,0.25,stratified_coreset,0.9371826428072229,0.0040996645377532155
covertype,0.5,coreset,0.960096220526601,0.00204960327883921
covertype,0.5,prototype,0.9091437790217736,0.007615239657528597
covertype,0.5,random,0.9686885132024246,0.0007481654602859966
covertype,0.5,stratified,0.9690444081397709,0.0009563431798792398
covertype,0.5,stratified_coreset,0.9549805500835085,0.0027227150562307858
covertype,1.0,coreset,0.9719641053957837,0.0003350157558044043
covertype,1.0,prototype,0.9256960324833382,0.005680872623863531
covertype,1.0,random,0.9779883728306714,0.0016347781499785365
covertype,1.0,stratified,0.975592383595062,0.0057880038296213715
covertype,1.0,stratified_coreset,0.9679919062350245,0.0012651435377011237
