inner_strategy,random,random,random,random,stratified,stratified,stratified,stratified
M,1,3,5,10,1,3,5,10
dataset,,,,,,,,
MiniBooNE,165.6,157.8,177.5,244.7,167.8,158.0,177.0,244.2
adult,48.4,46.2,54.2,78.6,49.8,47.2,54.2,78.7
bank-marketing,55.6,44.3,50.3,70.4,54.1,43.6,49.6,70.4
connect-4,116.3,95.5,100.4,126.1,113.3,95.3,102.0,140.0
covertype,118.9,115.9,130.2,174.6,119.5,115.6,128.1,172.0
credit-g,0.9,1.0,1.4,2.3,1.0,1.0,1.4,2.4
higgs,92.0,91.3,102.5,121.2,93.2,90.6,102.4,119.8
jannis,183.4,170.0,193.6,268.1,182.4,171.4,191.8,267.5
mozilla4,11.7,8.3,7.8,9.7,11.6,8.1,7.6,9.5
nomao,340.9,271.1,283.1,368.4,385.5,293.5,297.0,367.5
numerai28.6,75.2,71.0,82.0,99.5,76.7,69.1,80.9,105.0
pendigits,38.9,23.5,23.0,25.9,33.0,21.4,20.7,25.8
phoneme,3.2,2.8,2.9,3.8,3.5,3.1,3.3,4.2
volkert,547.7,461.8,521.0,716.5,598.6,521.6,557.8,733.6
