dataset,inner_strategy,M,budget_per_member,seed,auc,n_sampled_total,pool_size,sampling_time,inference_time,n_classes
credit-g,stratified,1,800,1,0.7617857142857142,800,800,0.0,1.098,2
credit-g,stratified,1,800,2,0.779047619047619,800,800,0.0,1.04,2
credit-g,stratified,1,800,3,0.7591666666666665,800,800,0.0,1.051,2
credit-g,stratified,1,800,4,0.7739285714285715,800,800,0.0,0.923,2
credit-g,stratified,3,266,1,0.7538095238095238,798,800,0.001,1.025,2
credit-g,stratified,3,266,2,0.7589285714285715,798,800,0.001,1.035,2
credit-g,stratified,3,266,3,0.7647619047619048,798,800,0.001,1.045,2
credit-g,stratified,3,266,4,0.7885714285714285,798,800,0.001,1.039,2
credit-g,stratified,5,160,1,0.7645238095238096,800,800,0.002,1.349,2
credit-g,stratified,5,160,2,0.782142857142857,800,800,0.002,1.371,2
credit-g,stratified,5,160,3,0.7539285714285714,800,800,0.002,1.383,2
credit-g,stratified,5,160,4,0.7570238095238094,800,800,0.002,1.383,2
credit-g,stratified,10,80,1,0.758452380952381,800,800,0.004,2.299,2
credit-g,stratified,10,80,2,0.7839285714285715,800,800,0.004,2.384,2
credit-g,stratified,10,80,3,0.7648809523809523,800,800,0.004,2.455,2
credit-g,stratified,10,80,4,0.7479761904761905,800,800,0.004,2.303,2
phoneme,stratified,1,4323,1,0.954997770327184,4323,4323,0.0,3.797,2
phoneme,stratified,1,4323,2,0.954097643153253,4323,4323,0.0,3.569,2
phoneme,stratified,1,4323,3,0.9541224172956546,4323,4323,0.0,3.399,2
phoneme,stratified,1,4323,4,0.9551835763951972,4323,4323,0.0,3.352,2
phoneme,stratified,3,1441,1,0.9387252877929542,4323,4323,0.002,3.07,2
phoneme,stratified,3,1441,2,0.9407485094224324,4323,4323,0.002,3.172,2
phoneme,stratified,3,1441,3,0.9406370257816242,4323,4323,0.002,3.202,2
phoneme,stratified,3,1441,4,0.9397823178687632,4323,4323,0.002,3.002,2
phoneme,stratified,5,864,1,0.9317885279204584,4320,4323,0.004,3.408,2
phoneme,stratified,5,864,2,0.9311526582654795,4320,4323,0.005,3.338,2
phoneme,stratified,5,864,3,0.9315407864964408,4320,4323,0.004,3.376,2
phoneme,stratified,5,864,4,0.9285431152658264,4320,4323,0.005,3.145,2
phoneme,stratified,10,432,1,0.9203676482732424,4320,4323,0.009,4.106,2
phoneme,stratified,10,432,2,0.9163996564652254,4320,4323,0.009,4.213,2
phoneme,stratified,10,432,3,0.9154995292912944,4320,4323,0.008,4.17,2
phoneme,stratified,10,432,4,0.9153054651758138,4320,4323,0.008,4.19,2
