dataset,inner_strategy,M,mean,std
MiniBooNE,random,1,0.9798499558910163,0.0007914573532837683
MiniBooNE,random,3,0.9803300200571039,0.0006129990835055499
MiniBooNE,random,5,0.9799517325160687,0.00046723348111900586
MiniBooNE,random,10,0.9786578764258883,0.00033374344378284495
MiniBooNE,stratified,1,0.9797058425182464,0.000640807795769492
MiniBooNE,stratified,3,0.9805725662135094,0.0004122776311501567
MiniBooNE,stratified,5,0.9798896547193937,0.0003209452161666647
MiniBooNE,stratified,10,0.9781647774705737,0.0007943165764598342
adult,random,1,0.9148651914695322,0.001028656809876302
adult,random,3,0.9149158859741731,0.0005280173066292336
adult,random,5,0.9134624876206408,0.0005344927879879963
adult,random,10,0.9113281165910868,0.000989436237054313
adult,stratified,1,0.9153388390184278,0.0004097377247528568
adult,stratified,3,0.9144249493400303,0.0003221414009324364
adult,stratified,5,0.9142870755403663,0.00037168833991121025
adult,stratified,10,0.9120936136838728,0.0010179606883252577
bank-marketing,random,1,0.9304935530111397,0.001495709032885889
bank-marketing,random,3,0.9313581822249422,0.002168364995581877
bank-marketing,random,5,0.9304216731986843,0.000904006456155682
bank-marketing,random,10,0.9254791740894138,0.0025877448205134544
bank-marketing,stratified,1,0.9307897872073463,0.0015445647580725151
bank-marketing,stratified,3,0.9320255488492719,0.002234354244001595
bank-marketing,stratified,5,0.929977580837416,0.0015080635893876665
bank-marketing,stratified,10,0.9237940526483376,0.0023354290276472356
connect-4,random,1,0.863643076043143,0.007896931220260127
connect-4,random,3,0.860362170559251,0.007385696154845837
connect-4,random,5,0.8559612948936925,0.003804280923328392
connect-4,random,10,0.8337137400321956,0.0030615352837448846
connect-4,stratified,1,0.862427794579684,0.0076859438091014245
connect-4,stratified,3,0.8628481523031978,0.007429211930810953
connect-4,stratified,5,0.8518769394539054,0.0044223259867651145
connect-4,stratified,10,0.8304923866612113,0.002592134726753559
covertype,random,1,0.9779883728306714,0.0016347781499785365
covertype,random,3,0.9722393974242345,0.0010898610603402973
covertype,random,5,0.965803520473562,0.0008092344063106529
covertype,random,10,0.9522896443830898,0.0014100136877842377
covertype,stratified,1,0.975592383595062,0.0057880038296213715
covertype,stratified,3,0.9734092245473344,0.0006783291851878278
covertype,stratified,5,0.9662413882370422,0.0009360847802865239
covertype,stratified,10,0.9493651654858661,0.0020432622062072107
credit-g,random,1,0.7684821428571428,0.009537874039546588
credit-g,random,3,0.7628869047619048,0.025552543756765612
credit-g,random,5,0.7624107142857143,0.019292173864320854
credit-g,random,10,0.7593452380952381,0.015928227390879734
credit-g,stratified,1,0.7684821428571428,0.009537874039546588
credit-g,stratified,3,0.7665178571428571,0.015368174639857117
credit-g,stratified,5,0.7644047619047618,0.012634387202586507
credit-g,stratified,10,0.7638095238095238,0.015114203698480244
higgs,random,1,0.787123602487563,0.0015500357382036737
higgs,random,3,0.7858168269270128,0.0025292407841403346
higgs,random,5,0.7829629244146167,0.0024020973185188365
higgs,random,10,0.7722896531788567,0.002125497610252789
