dataset,strategy,mean_pred_std,n_seeds
credit-g,random,0.025875492,4
credit-g,stratified,0.025875492,4
credit-g,coreset,0.025875492,4
credit-g,prototype,0.025875492,4
credit-g,stratified_coreset,0.025875492,4
phoneme,random,0.026037015,4
phoneme,stratified,0.026037015,4
phoneme,coreset,0.026037015,4
phoneme,prototype,0.026037015,4
phoneme,stratified_coreset,0.026037015,4
pendigits,random,0.00087722996,4
pendigits,stratified,0.00087722996,4
pendigits,coreset,0.00087722996,4
pendigits,prototype,0.00087722996,4
pendigits,stratified_coreset,0.00087722996,4
mozilla4,random,0.021150662,4
mozilla4,stratified,0.02008486,4
mozilla4,coreset,0.017938448,4
mozilla4,prototype,0.021476826,4
mozilla4,stratified_coreset,0.018414073,4
nomao,random,0.013921255,4
nomao,stratified,0.015035178,4
nomao,coreset,0.011934468,4
nomao,prototype,0.01667068,4
nomao,stratified_coreset,0.011975017,4
bank-marketing,random,0.024538415,4
bank-marketing,stratified,0.023094345,4
bank-marketing,coreset,0.018095763,4
bank-marketing,prototype,0.026432,4
bank-marketing,stratified_coreset,0.013712802,4
adult,random,0.021805024,4
adult,stratified,0.022112858,4
adult,coreset,0.023745414,4
adult,prototype,0.023981934,4
adult,stratified_coreset,0.019645488,4
volkert,random,0.021110788,4
volkert,stratified,0.020188037,4
volkert,coreset,0.017092785,4
volkert,prototype,0.025499184,4
volkert,stratified_coreset,0.017936992,4
connect-4,random,0.049727213,4
connect-4,stratified,0.048959084,4
connect-4,coreset,0.049230464,4
connect-4,prototype,0.06279772,4
connect-4,stratified_coreset,0.04182754,4
jannis,random,0.033639263,4
jannis,stratified,0.033380583,4
jannis,coreset,0.025786102,4
jannis,prototype,0.029255372,4
jannis,stratified_coreset,0.02617849,4
numerai28.6,random,0.015228534,4
numerai28.6,stratified,0.018097037,4
numerai28.6,coreset,0.0109249875,4
numerai28.6,prototype,0.018420704,4
numerai28.6,stratified_coreset,0.0076939967,4
higgs,random,0.046713166,4
higgs,stratified,0.050105352,4
higgs,coreset,0.04372757,4
higgs,prototype,0.04495193,4
higgs,stratified_coreset,0.03631277,4
MiniBooNE,random,0.029610895,4
MiniBooNE,stratified,0.029319849,4
MiniBooNE,coreset,0.03255877,4
MiniBooNE,prototype,0.043336928,4
MiniBooNE,stratified_coreset,0.028194543,4
covertype,random,0.026770787,4
covertype,stratified,0.029409619,4
covertype,coreset,0.02684942,4
covertype,prototype,0.02350937,4
covertype,stratified_coreset,0.021950522,4
