dataset,Random,Stratified,k-Center,Prototype (NE),Per-Class k-Center
credit-g,0.025875492,0.025875492,0.025875492,0.025875492,0.025875492
phoneme,0.026037015,0.026037015,0.026037015,0.026037015,0.026037015
pendigits,0.00087722996,0.00087722996,0.00087722996,0.00087722996,0.00087722996
mozilla4,0.021150662,0.02008486,0.017938448,0.021476826,0.018414073
nomao,0.013921255,0.015035178,0.011934468,0.01667068,0.011975017
bank-marketing,0.024538415,0.023094345,0.018095763,0.026432,0.013712802
adult,0.021805024,0.022112858,0.023745414,0.023981934,0.019645488
volkert,0.021110788,0.020188037,0.017092785,0.025499184,0.017936992
connect-4,0.049727213,0.048959084,0.049230464,0.06279772,0.04182754
jannis,0.033639263,0.033380583,0.025786102,0.029255372,0.02617849
numerai28.6,0.015228534,0.018097037,0.0109249875,0.018420704,0.0076939967
higgs,0.046713166,0.050105352,0.04372757,0.04495193,0.03631277
MiniBooNE,0.029610895,0.029319849,0.03255877,0.043336928,0.028194543
covertype,0.026770787,0.029409619,0.02684942,0.02350937,0.021950522
