dataset,sampler,seed,class_label,n_selected,mean_centroid_pctl
covertype,perclass_kcenter,1,0,3646,68.51196792932173
covertype,perclass_kcenter,1,1,4876,67.1798604590813
covertype,perclass_kcenter,1,2,615,60.123665239169696
covertype,perclass_kcenter,1,3,47,62.0362389719056
covertype,perclass_kcenter,1,4,163,58.2235494590998
covertype,perclass_kcenter,1,5,299,67.69627494609422
covertype,perclass_kcenter,1,6,354,63.93095960488134
covertype,perclass_kcenter,2,0,3646,68.32724934487098
covertype,perclass_kcenter,2,1,4876,67.16106328704845
covertype,perclass_kcenter,2,2,615,59.97895991126893
covertype,perclass_kcenter,2,3,47,60.70076216116756
covertype,perclass_kcenter,2,4,163,59.598968698163226
covertype,perclass_kcenter,2,5,299,67.13999278287206
covertype,perclass_kcenter,2,6,354,64.34710415390427
covertype,perclass_kcenter,3,0,3646,68.41566943268624
covertype,perclass_kcenter,3,1,4876,67.19409375672444
covertype,perclass_kcenter,3,2,615,59.703972034475946
covertype,perclass_kcenter,3,3,47,62.056576182221406
covertype,perclass_kcenter,3,4,163,58.777256093964496
covertype,perclass_kcenter,3,5,299,67.0180863922473
covertype,perclass_kcenter,3,6,354,63.74625134166587
covertype,perclass_kcenter,4,0,3646,68.43787317751146
covertype,perclass_kcenter,4,1,4876,67.09937754997149
covertype,perclass_kcenter,4,2,615,59.666166957453086
covertype,perclass_kcenter,4,3,47,63.088931715395255
covertype,perclass_kcenter,4,4,163,58.20294604572018
covertype,perclass_kcenter,4,5,299,67.7024617435647
covertype,perclass_kcenter,4,6,354,63.79965971531374
covertype,stratified,1,0,3646,49.872695562587865
covertype,stratified,1,1,4876,49.237964278231644
covertype,stratified,1,2,615,49.23687183169292
covertype,stratified,1,3,47,48.36285456957747
covertype,stratified,1,4,164,53.292506255761886
covertype,stratified,1,5,299,48.64633112077085
covertype,stratified,1,6,353,50.77771164833085
covertype,stratified,2,0,3646,50.51941695515081
covertype,stratified,2,1,4876,50.811938726927295
covertype,stratified,2,2,615,47.688802249885306
covertype,stratified,2,3,47,56.90157758645735
covertype,stratified,2,4,164,44.475013892770306
covertype,stratified,2,5,299,53.17034853335586
covertype,stratified,2,6,353,49.746109542479196
covertype,stratified,3,0,3646,49.80388847250675
covertype,stratified,3,1,4876,49.64581339509467
covertype,stratified,3,2,615,50.05194360733203
covertype,stratified,3,3,47,55.78884165060673
covertype,stratified,3,4,164,50.658180031029865
covertype,stratified,3,5,299,48.97562762893755
covertype,stratified,3,6,353,48.07013381802937
covertype,stratified,4,0,3646,49.4850781723139
covertype,stratified,4,1,4876,49.64731218465583
covertype,stratified,4,2,615,49.141347213765826
covertype,stratified,4,3,47,53.37936644747673
covertype,stratified,4,4,164,50.821600768358536
covertype,stratified,4,5,299,49.29543931919228
covertype,stratified,4,6,353,50.15039700977489
